# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Dec  7 03:23:11 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr <= 4.5
# CONSTRAINT:  and pl_bmassestr <= 50)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-1184 b,TOI-1184,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,5.74843200,0.00000390,-0.00000390,0,0.056000,0.001000,-0.001000,0,2.410,0.102,-0.144,0,0.215,0.009,-0.013,0,6.80000,2.30000,-2.30000,0,0.02140,0.00724,-0.00724,0,Mass,0.000000,,,0,,,,,715,14,-14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,4617.00,47.00,-48.00,0,0.70,0.02,-0.02,0,0.73,0.02,-0.03,0,0.017,0.085,-0.094,0,[Fe/H],4.61,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h08m49.08s,272.2045196,+60d40m43.62s,60.6787845,58.5946000,0.0780000,-0.0778000,10.9880000,0.0150000,-0.0150000,8.3170000,0.0190000,-0.0190000,10.6220000,0.0004140,-0.0004140,2024-07-23,2024-06,2024-07-23
TOI-2120 b,TOI-2120,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,5.79981640,0.00000350,-0.00000350,0,0.037700,0.001300,-0.001300,0,2.122,0.065,-0.065,0,0.189,0.006,-0.006,0,6.80000,,,1,0.02140,,,1,Mass,0.320000,0.080000,-0.080000,0,3.61,0.24,-0.22,0,384,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3131.00,30.00,-30.00,0,0.24,0.01,-0.01,0,0.21,0.01,-0.01,0,0.390,0.220,-0.220,0,[Fe/H],4.99,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m01.76s,23.5073150,+65d30m50.36s,65.5139877,32.1755000,0.0529000,-0.0528000,15.6480000,0.1050000,-0.1050000,10.2050000,0.0230000,-0.0230000,14.1872000,0.0004770,-0.0004770,2024-06-10,2024-06,2024-06-10
Kepler-57 c,Kepler-57,1,1,2,Transit,2012,Kepler,Published Confirmed,0,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,11.60000000,,,0,,,,,2.196,0.067,-0.065,0,0.196,0.006,-0.006,0,6.86000,1.52000,-1.43000,0,0.02158,0.00478,-0.00450,0,Mass,0.072500,0.007000,-0.006200,0,,,,,,,,,1,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,,5187.90,90.80,-90.80,0,0.83,0.02,-0.02,0,0.86,0.05,-0.05,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m33.92s,293.6413146,+44d39m25.45s,44.6570692,644.1400000,8.6285000,-8.6285000,15.0170000,0.1260000,-0.1260000,12.8970000,0.0280000,-0.0280000,14.7738000,0.0002860,-0.0002860,2024-06-10,2023-01,2024-06-10
K2-199 b,K2-199,1,1,2,Transit,2018,K2,Published Confirmed,0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,3.22539930,0.00000240,-0.00000240,0,0.038200,0.000400,-0.000400,0,1.730,0.050,-0.040,0,0.154,0.004,-0.004,0,6.90000,1.80000,-1.80000,0,0.02171,0.00566,-0.00566,0,Mass,0.020000,0.030000,-0.020000,0,116.20,12.00,-11.00,0,913,23,-23,0,0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,,4491.00,100.00,-100.00,0,0.68,0.01,-0.01,0,0.71,0.02,-0.02,0,-0.010,0.090,-0.090,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h55m36.35s,208.9014508,-06d08m09.90s,-6.1360833,107.5180000,0.6020000,-0.5960000,12.3580000,0.1140000,-0.1140000,9.6250000,0.0190000,-0.0190000,11.9053000,0.0004030,-0.0004030,2022-03-28,2021-12,2022-03-28
Kepler-18 b,Kepler-18,1,1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,3.50472500,0.00002800,-0.00002800,0,0.044700,0.000600,-0.000600,0,2.000,0.100,-0.100,0,0.178,0.009,-0.009,0,6.90000,3.40000,-3.40000,0,0.02200,0.01100,-0.01100,0,Mass,0.000000,,,0,,,,,,,,,1,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,,5345.00,100.00,-100.00,0,1.11,0.05,-0.05,0,0.97,0.04,-0.04,0,0.190,0.060,-0.060,0,[Fe/H],4.31,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h52m19.07s,298.0794448,+44d44m46.49s,44.7462480,433.0470000,3.2040000,-3.1580000,13.7710000,0.0690000,-0.0690000,11.7560000,0.0190000,-0.0190000,13.5393000,0.0002190,-0.0002190,2015-11-11,2011-11,2014-05-14
TOI-1758 b,TOI-1758,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,20.70512700,0.00005600,-0.00005600,0,0.138000,0.003000,-0.003000,0,3.557,0.228,-0.142,0,0.317,0.020,-0.013,0,6.90000,6.20000,-6.30000,0,0.02171,0.01951,-0.01982,0,Mass,0.000000,,,0,,,,,551,9,-8,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5151.00,65.00,-59.00,0,0.82,0.01,-0.01,0,0.83,0.03,-0.03,0,-0.020,0.059,-0.060,0,[Fe/H],4.53,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h38m57.98s,354.7415810,+75d41m06.83s,75.6852317,96.6215000,0.3434000,-0.3409000,10.7940000,0.0080000,-0.0080000,8.8110000,0.0200000,-0.0200000,10.6252000,0.0002950,-0.0002950,2024-07-22,2024-06,2024-07-22
TOI-776 c,TOI-776,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,15.66532300,0.00007500,-0.00007000,0,0.100100,0.002200,-0.002400,0,2.047,0.081,-0.078,0,0.183,0.007,-0.007,0,6.90000,2.60000,-2.50000,0,0.02171,0.00818,-0.00787,0,Mass,0.089000,0.048000,-0.054000,0,,,,,420,10,-10,0,0,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,,3725.00,60.00,-60.00,0,0.55,0.02,-0.02,0,0.54,0.04,-0.04,0,-0.210,0.080,-0.080,0,[Fe/H],4.80,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h54m18.72s,178.5779970,-37d33m12.08s,-37.5533568,27.1701000,0.0320500,-0.0320500,11.5360000,0.0410000,-0.0410000,7.6150000,0.0200000,-0.0200000,10.7409000,0.0004780,-0.0004780,2024-06-10,2024-04,2024-06-10
Kepler-80 b,Kepler-80,1,1,6,Transit,2012,Kepler,Published Confirmed,0,<a refstr=MACDONALD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..105M/abstract target=ref>MacDonald et al. 2016</a>,7.05246000,0.00020000,-0.00022000,0,0.064800,0.000900,-0.000900,0,2.670,0.100,-0.100,0,0.238,0.009,-0.009,0,6.93000,1.05000,-0.70000,0,0.02180,0.00330,-0.00220,0,Mass,,,,,,,,,,,,,1,<a refstr=MACDONALD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..105M/abstract target=ref>MacDonald et al. 2016</a>,K5,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,0.040,0.080,-0.080,0,[Fe/H],4.64,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.4510000,2.8945000,-2.8945000,15.2300000,0.1720000,-0.1720000,12.2530000,0.0200000,-0.0200000,14.7555000,0.0004920,-0.0004920,2016-08-04,2016-10,2016-08-04
HIP 9618 c,HIP 9618,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,52.56363000,0.00016000,-0.00016000,0,0.269000,0.005000,-0.005000,0,3.429,0.097,-0.086,0,0.306,0.009,-0.008,0,7.00000,,,1,0.02202,,,1,Mass,0.000000,,,0,,,,,470,8,-8,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5649.00,75.00,-71.00,0,0.96,0.02,-0.02,0,0.94,0.03,-0.03,0,-0.018,0.059,-0.058,0,[Fe/H],4.45,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,67.5478000,0.1566000,-0.1559000,9.2000000,0.0300000,-0.0300000,7.5590000,0.0210000,-0.0210000,9.0254300,0.0002720,-0.0002720,2024-07-22,2024-06,2024-07-22
Kepler-100 c,Kepler-100,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,12.81590000,,,0,,,,,2.200,0.050,-0.050,0,0.196,0.004,-0.004,0,7.05000,,,1,0.02218,,,1,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5825.00,75.00,-75.00,0,1.49,0.04,-0.04,0,1.08,0.06,-0.06,0,0.020,0.100,-0.100,0,[Fe/H],4.12,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m32.67s,291.3861294,+41d59m24.50s,41.9901394,304.6450000,1.7630000,-1.7440000,11.0550000,0.0110000,-0.0110000,9.7680000,0.0140000,-0.0140000,11.1293000,0.0003710,-0.0003710,2016-10-12,2014-02,2016-10-13
LP 791-18 c,LP 791-18,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,4.98990930,0.00000740,-0.00000720,0,0.029610,0.000350,-0.000360,0,2.438,0.096,-0.096,0,0.218,0.009,-0.009,0,7.10000,0.70000,-0.70000,0,0.02234,0.00220,-0.00220,0,Mass,0.000080,0.000040,-0.000040,0,2.64,0.07,-0.06,0,324,2,-2,0,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.18,0.01,-0.01,0,0.14,0.01,-0.01,0,-0.090,0.190,-0.190,0,[Fe/H],5.12,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927000,0.0640000,-0.0638000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2023-05-14,2023-05,2023-05-14
Kepler-36 c,Kepler-36,1,1,2,Transit,2012,Kepler,Published Confirmed,0,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,16.21865000,0.00010000,-0.00010000,0,,,,,3.679,0.096,-0.091,0,0.328,0.009,-0.008,0,7.13000,0.18000,-0.18000,0,0.02243,0.00057,-0.00057,0,Mass,0.000000,,,0,191.00,9.70,-10.40,0,,,,,1,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,5979.00,60.00,-60.00,0,1.63,0.04,-0.04,0,1.03,0.02,-0.02,0,-0.180,0.040,-0.040,0,[Fe/H],4.10,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.9560000,6.1050000,-5.9690000,11.9410000,0.0250000,-0.0250000,10.7880000,0.0220000,-0.0220000,12.0767000,0.0001700,-0.0001700,2020-05-01,2020-03,2020-05-07
TOI-1470 c,TOI-1470,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,18.08816000,0.00006000,-0.00008000,0,0.106000,0.001000,-0.001000,0,2.470,0.020,-0.020,0,0.220,0.002,-0.002,0,7.24000,2.87000,-2.77000,0,0.02278,0.00903,-0.00872,0,Mass,0.500000,,,1,3.35,0.30,-0.20,0,373,,,0,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,M1.5 V,3709.00,11.00,-11.00,0,0.47,0.00,0.00,0,0.47,0.01,-0.01,0,0.000,0.030,-0.030,0,[Fe/H],4.77,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.9503000,0.0745000,-0.0745000,13.4590000,0.0360000,-0.0360000,9.2830000,0.0200000,-0.0200000,12.5555000,0.0002850,-0.0002850,2023-08-07,2023-07,2023-08-07
HD 86226 c,HD 86226,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>,3.98442000,0.00018000,-0.00018000,0,0.049000,0.001000,-0.001000,0,2.160,0.080,-0.080,0,0.193,0.007,-0.007,0,7.25000,1.19000,-1.12000,0,0.02281,0.00374,-0.00352,0,Mass,0.075000,0.065000,-0.048000,0,,,,,1311,28,-28,0,0,<a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>,G1 V,5863.00,88.00,-88.00,0,1.05,0.03,-0.03,0,1.02,0.06,-0.07,0,0.018,0.057,-0.043,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h56m29.64s,149.1235154,-24d05m57.07s,-24.0991859,45.6830000,0.1053000,-0.1048000,7.9300000,0.0300000,-0.0300000,6.4630000,0.0230000,-0.0230000,7.7713000,0.0004620,-0.0004620,2020-08-06,2020-08,2020-08-13
HD 219134 f,HD 219134,1,1,6,Radial Velocity,2015,Multiple Observatories,Published Confirmed,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,22.71700000,0.01500000,-0.01500000,0,0.146300,0.001800,-0.001800,0,1.310,0.020,-0.020,-1,0.117,0.002,-0.002,-1,7.30000,0.40000,-0.40000,-1,0.02297,0.00126,-0.00126,-1,Mass,0.148000,0.047000,-0.047000,0,12.38,0.38,-0.38,0,523,4,-4,0,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,,4699.00,16.00,-16.00,0,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,0.110,0.040,-0.040,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,0.0038400,-0.0038500,5.5691100,0.0230000,-0.0230000,3.2610000,0.3040000,-0.3040000,5.2402000,0.0022257,-0.0022257,2017-03-14,2017-03,2017-03-16
Kepler-11 d,Kepler-11,1,1,6,Transit,2010,Kepler,Published Confirmed,0,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,22.68450000,0.00090000,-0.00090000,0,0.155000,0.001000,-0.001000,0,3.120,0.060,-0.070,0,0.278,0.005,-0.006,0,7.30000,0.80000,-1.50000,0,0.02300,0.00300,-0.00500,0,Mass,0.004000,0.007000,-0.002000,0,,,,,,,,,1,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,,5663.00,55.00,-66.00,0,1.06,0.02,-0.02,0,0.96,0.03,-0.03,0,,,,,,4.37,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,6.3750000,-6.3750000,13.8170000,0.0920000,-0.0920000,12.1800000,0.0200000,-0.0200000,13.7062000,0.0002710,-0.0002710,2014-05-14,2013-06,2014-05-14
