# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Dec  7 05:41:49 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim
HIP 29442 d,HD 42813,1,6.42957500,0.00002600,-0.00002600,0,1.538,0.049,-0.049,0
HIP 34222 b,HIP 34222,1,159.98600000,2.67530000,-2.92560000,0,,,,
HIP 35173 b,HIP 35173,1,41.51600000,0.07700000,-0.07700000,0,,,,
HIP 35965 b,HIP 35965,1,26125.56497000,13613.39551000,-10171.69978000,0,,,,
HIP 38594 b,HIP 38594,1,60.72200000,0.12200000,-0.12200000,0,,,,
HIP 38594 c,HIP 38594,1,3477.76800000,229.00100000,-229.00100000,0,,,,
HIP 39017 b,HIP 39017,1,31000.00000000,19000.00000000,-9500.00000000,0,,,,
HIP 41378 b,HIP 41378,1,15.57209800,0.00001800,-0.00001900,0,,,,
HIP 41378 c,HIP 41378,1,31.70648000,0.00024000,-0.00019000,0,,,,
HIP 41378 d,HIP 41378,1,1114.00000000,,,1,,,,
HIP 41378 e,HIP 41378,1,,,,,,,,
HIP 41378 f,HIP 41378,1,1084.00000000,,,1,,,,
HIP 4845 b,HIP 4845,1,34.15000000,0.04600000,-0.04600000,0,,,,
HIP 48714 b,HIP 48714,1,17.81800000,0.00200000,-0.00200000,0,,,,
HIP 5158 b,HIP 5158,1,345.72000000,5.37000000,-5.37000000,0,,,,
HIP 5158 c,HIP 5158,1,9017.76000000,3180.74000000,-3180.74000000,0,,,,
HIP 54373 b,HIP 54373,1,7.76000000,0.00300000,-0.00300000,0,,,,
HIP 54373 c,HIP 54373,1,15.14400000,0.00800000,-0.00800000,0,,,,
HIP 54597 b,HIP 54597,1,3274.00000000,47.00000000,-46.00000000,0,,,,
HIP 55507 b,HIP 55507,1,5138.43727000,887.26948000,-529.24741000,0,,,,
HIP 56640 b,HIP 56640,1,2675.57603000,183.35403000,-108.29793000,0,,,,
HIP 57274 b,HIP 57274,1,8.13520000,0.00400000,-0.00400000,0,,,,
HIP 57274 c,HIP 57274,1,32.03000000,0.02000000,-0.02000000,0,,,,
HIP 57274 d,HIP 57274,1,431.70000000,8.50000000,-8.50000000,0,,,,
HIP 5763 b,HIP 5763,1,30.01400000,0.15280000,-0.28420000,0,,,,
HIP 63242 b,HIP 63242,1,124.60000000,,,0,,,,
HIP 65 A b,HIP 65 A,1,0.98097340,0.00000310,-0.00000310,0,22.754,6.837,-5.492,0
HIP 65407 b,HIP 65407,1,28.12500000,0.01900000,-0.01900000,0,,,,
HIP 65407 c,HIP 65407,1,67.30000000,0.08000000,-0.08000000,0,,,,
HIP 65426 b,HIP 65426,1,,,,,16.814,1.121,-1.121,0
HIP 65891 b,HIP 65891,1,1079.55726000,20.64275000,-18.39667000,0,,,,
HIP 66074 b,HIP 66074,1,310.90000000,21.70000000,-17.70000000,0,,,,
HIP 67522 b,HIP 67522,1,6.95947310,0.00000220,-0.00000220,0,9.987,0.235,-0.224,0
HIP 67522 c,HIP 67522,1,14.33489200,0.00001200,-0.00001200,0,7.936,0.347,-0.359,0
HIP 67537 b,HIP 67537,1,2523.64713000,240.39054000,-94.43206000,0,,,,
HIP 67851 b,HIP 67851,1,88.87622000,0.11842000,-0.11971000,0,,,,
HIP 67851 c,HIP 67851,1,3923.66090000,616.24996000,-330.23316000,0,,,,
HIP 70849 b,HIP 70849,1,3649.00000000,18.00000000,-18.00000000,0,,,,
HIP 71135 b,HIP 71135,1,87.19000000,0.38100000,-0.38100000,0,,,,
HIP 74890 b,HIP 74890,1,822.30000000,16.80000000,-16.80000000,0,,,,
HIP 75092 b,HIP 75092,1,926.40000000,12.80000000,-12.80000000,0,,,,
HIP 77900 b,HIP 77900,1,,,,,,,,
HIP 78530 b,HIP 78530,1,,,,,,,,
HIP 79098 AB b,HIP 79098 AB,1,,,,,,,,
HIP 79431 b,HIP 79431,1,111.70000000,0.70000000,-0.70000000,0,,,,
HIP 81208 C b,HIP 81208 C,1,104100.00000000,107260.00000000,-40934.00000000,0,,,,
HIP 8152 b,HIP 8152,1,10.75101400,0.00005500,-0.00005500,0,2.536,0.157,-0.135,0
HIP 8152 c,HIP 8152,1,19.60562000,0.00025000,-0.00025000,0,2.524,0.150,-0.141,0
HIP 8541 b,HIP 8541,1,1852.14387000,215.24662000,-117.31046000,0,,,,
HIP 86221 b,HIP 86221,1,2.22400000,0.00040000,-0.00050000,0,,,,
HIP 90988 b,HIP 90988,1,455.73816000,2.11413000,-1.88939000,0,,,,
HIP 91258 b,HIP 91258,1,5.05050000,0.00150000,-0.00150000,0,,,,
HIP 94235 b,HIP 94235,1,7.71305700,0.00002100,-0.00002100,0,3.000,0.320,-0.280,0
HIP 948 b,HIP 948,1,24955.45756000,8914.75178000,-10015.46337000,0,,,,
HIP 9618 b,HIP 9618,1,20.77285800,0.00004700,-0.00004700,0,3.828,0.104,-0.088,0
HIP 9618 c,HIP 9618,1,52.56363000,0.00016000,-0.00016000,0,3.429,0.097,-0.086,0
HIP 97166 b,HIP 97166,1,10.28891400,0.00000640,-0.00000640,0,2.480,0.073,-0.052,0
HIP 97166 c,HIP 97166,1,16.43200000,0.04100000,-0.04100000,0,,,,
HIP 97233 b,HIP 97233,1,1062.26506000,8.80710000,-9.63078000,0,,,,
HIP 99770 b,HIP 99770,1,18600.00000000,6200.00000000,-2800.00000000,0,,,,
HN Lib b,HN Lib,1,36.11600000,0.02700000,-0.02900000,0,,,,
HN Peg b,HN Peg,1,,,,,11.777,1.527,-0.654,0
HR 2562 b,HR 2562,1,,,,,12.442,1.233,-1.233,0
HR 5183 b,HR 5183,1,27000.00000000,16000.00000000,-8000.00000000,0,,,,
HR 810 b,HR 810,1,302.79999000,2.30000000,-2.30000000,0,,,,
HR 858 b,HR 858,1,3.58599000,0.00015000,-0.00015000,0,2.085,0.068,-0.064,0
HR 858 c,HR 858,1,5.97293000,0.00060000,-0.00053000,0,1.939,0.069,-0.069,0
HR 858 d,HR 858,1,11.23000000,0.00110000,-0.00100000,0,2.164,0.086,-0.083,0
HR 8799 b,HR 8799,1,170000.00000000,,,0,13.000,1.000,-1.000,0
HR 8799 c,HR 8799,1,69000.00000000,,,0,13.000,1.000,0.000,0
HR 8799 d,HR 8799,1,37000.00000000,,,0,13.000,1.000,0.000,0
HR 8799 e,HR 8799,1,,,,,13.115,1.457,-1.233,0
HS Psc b,HS Psc,1,3.98600000,0.04400000,-0.00300000,0,,,,
HU Aqr AB b,HU Aqr,1,2390.00000000,4.00000000,-4.00000000,0,,,,
HU Aqr AB c,HU Aqr,1,4368.00000000,515.00000000,-515.00000000,0,,,,
IC 4651 9122 b,IC 4651 9122,1,734.00000000,8.10000000,-8.10000000,0,,,,
ITG 15 b,ITG 15 A,1,,,,,,,,
K2-10 b,K2-10,1,19.30440000,0.00120000,-0.00120000,0,3.840,0.350,-0.340,0
K2-100 b,K2-100,1,1.67390350,0.00000040,-0.00000040,0,3.880,0.160,-0.160,0
K2-101 b,K2-101,1,14.67624290,0.00002010,-0.00002030,0,2.000,0.140,-0.070,0
K2-102 b,K2-102,1,9.91561500,0.00120900,-0.00119500,0,1.300,0.100,-0.100,0
K2-104 b,K2-104,1,1.97419540,0.00000240,-0.00000240,0,1.790,0.100,-0.060,0
K2-105 b,K2-105,1,8.26699280,0.00000700,-0.00000670,0,3.590,0.110,-0.070,0
K2-107 b,K2-107,1,3.31395900,0.00002400,-0.00002400,0,15.980,0.550,-0.550,0
K2-108 b,K2-108,1,4.73399900,0.00022100,-0.00022700,0,5.330,0.210,-0.210,0
K2-11 b,K2-11,1,39.93767000,0.23229000,-0.23229000,0,7.550,9.330,-9.330,0
K2-110 b,K2-110,1,13.86375000,0.00026000,-0.00026000,0,2.592,0.098,-0.097,0
K2-111 b,K2-111,1,5.35180000,0.00040000,-0.00040000,0,1.820,0.110,-0.090,0
K2-111 c,K2-111,1,15.68050000,0.00640000,-0.00640000,0,,,,
K2-113 b,K2-113,1,5.81768500,0.00004100,-0.00004100,0,12.140,0.350,-0.350,0
K2-114 b,K2-114,1,11.39093100,0.00000310,-0.00000320,0,10.592,0.325,-0.314,0
K2-115 b,K2-115,1,20.27299140,0.00000500,-0.00000500,0,11.803,0.336,-0.314,0
K2-116 b,K2-116,1,4.65541100,0.00048600,-0.00047300,0,0.690,0.040,-0.040,0
K2-117 b,K2-117,1,1.29160000,0.00004900,-0.00005100,0,2.030,0.100,-0.100,0
K2-117 c,K2-117,1,5.44401700,0.00046200,-0.00045500,0,2.060,0.120,-0.120,0
K2-118 b,K2-118,1,50.92092000,0.00558400,-0.00524900,0,2.540,0.230,-0.200,0
K2-119 b,K2-119,1,7.72728300,0.00126800,-0.00114900,0,2.530,0.200,-0.200,0
K2-12 b,K2-12,1,8.28246000,0.00052000,-0.00052000,0,2.440,0.300,-0.140,0
K2-120 b,K2-120,1,9.56274200,0.00067500,-0.00067300,0,2.010,0.130,-0.120,0
K2-121 b,K2-121,1,5.18575390,0.00000060,-0.00000050,0,7.520,0.220,-0.180,0
K2-122 b,K2-122,1,2.21930230,0.00000200,-0.00000200,0,1.160,0.100,-0.050,0
K2-123 b,K2-123,1,30.95152400,0.00362500,-0.00332000,0,2.760,0.160,-0.160,0
K2-124 b,K2-124,1,6.41365100,0.00003600,-0.00003100,0,2.900,0.100,-0.100,0
K2-125 b,K2-125,1,21.75026400,0.00199000,-0.00195700,0,2.180,0.190,-0.180,0
K2-126 b,K2-126,1,7.38565500,0.00050100,-0.00050900,0,1.970,0.120,-0.120,0
K2-127 b,K2-127,1,3.58816300,0.00002800,-0.00002900,0,8.370,0.330,-0.330,0
K2-128 b,K2-128,1,5.67581900,0.00041100,-0.00041400,0,1.420,0.160,-0.130,0
K2-129 b,K2-129,1,8.23949300,0.00029200,-0.00029100,0,1.040,0.100,-0.090,0
K2-13 b,K2-13,1,39.91488000,0.32477000,-0.32477000,0,1.890,0.950,-0.950,0
K2-130 b,K2-130,1,2.49412000,0.00013200,-0.00012800,0,1.250,0.200,-0.140,0
K2-131 b,K2-131,1,0.36930380,0.00000910,-0.00000910,0,1.690,0.085,-0.058,0
K2-132 b,K2-132,1,9.17510000,0.00230000,-0.00270000,0,14.572,0.785,-0.785,0
K2-133 b,K2-133,1,3.07133000,0.00011000,-0.00011000,0,1.340,0.077,-0.076,0
K2-133 c,K2-133,1,4.86784000,0.00012000,-0.00012000,0,1.603,0.090,-0.088,0
K2-133 d,K2-133,1,11.02454000,0.00036000,-0.00035000,0,2.003,0.107,-0.107,0
K2-133 e,K2-133,1,26.58410000,0.00180000,-0.00170000,0,1.730,0.140,-0.130,0
K2-136 b,K2-136,1,7.97520000,0.00079000,-0.00079000,0,1.014,0.050,-0.049,0
K2-136 c,K2-136,1,17.30713000,0.00027000,-0.00027000,0,3.000,0.130,-0.130,0
K2-136 d,K2-136,1,25.57500000,0.00240000,-0.00230000,0,1.565,0.077,-0.076,0
K2-137 b,K2-137,1,0.17971900,0.00002800,-0.00002800,0,0.640,0.100,-0.100,0
K2-138 b,K2-138,1,2.35309000,0.00022000,-0.00022000,0,1.510,0.110,-0.084,0
K2-138 c,K2-138,1,3.56004000,0.00012000,-0.00011000,0,2.299,0.120,-0.087,0
K2-138 d,K2-138,1,5.40479000,0.00021000,-0.00021000,0,2.390,0.104,-0.084,0
K2-138 e,K2-138,1,8.26146000,0.00021000,-0.00022000,0,3.390,0.156,-0.110,0
K2-138 f,K2-138,1,12.75758000,0.00050000,-0.00048000,0,2.904,0.164,-0.111,0
K2-138 g,K2-138,1,41.96797000,0.00843000,-0.00725000,0,3.013,0.303,-0.251,0
K2-139 b,K2-139,1,28.38061900,0.00055100,-0.00052800,0,9.110,0.170,-0.170,0
K2-14 b,K2-14,1,8.36802000,0.00019000,-0.00019000,0,4.810,0.420,-0.420,0
K2-140 b,K2-140,1,6.56918800,0.00003100,-0.00003100,0,13.563,1.009,-1.009,0
K2-141 b,K2-141,1,0.28032440,0.00000150,-0.00000150,0,1.510,0.050,-0.050,0
K2-141 c,K2-141,1,7.74850000,0.00022000,-0.00022000,0,7.000,4.600,-2.800,0
K2-146 b,K2-146,1,2.64460000,0.00006000,-0.00006000,0,2.050,0.060,-0.060,0
K2-146 c,K2-146,1,4.00498000,0.00011000,-0.00011000,0,2.190,0.070,-0.070,0
K2-147 b,K2-147,1,0.96193900,0.00002900,-0.00002900,0,1.473,0.111,-0.099,0
K2-148 b,K2-148,1,4.38395000,0.00080000,-0.00080000,0,1.330,0.190,-0.180,0
K2-148 c,K2-148,1,6.92260000,0.00070000,-0.00070000,0,1.730,0.240,-0.210,0
K2-148 d,K2-148,1,9.75790000,0.00100000,-0.00100000,0,1.640,0.240,-0.210,0
K2-149 b,K2-149,1,11.33200000,0.00130000,-0.00130000,0,1.640,0.200,-0.180,0
K2-15 b,K2-15,1,11.81040000,0.00204000,-0.00204000,0,2.480,0.300,-0.300,0
K2-150 b,K2-150,1,10.59357000,0.00084000,-0.00084000,0,2.000,0.270,-0.210,0
K2-151 b,K2-151,1,3.83547600,0.00026600,-0.00025600,0,1.490,0.080,-0.080,0
K2-152 b,K2-152,1,32.64790000,0.01141000,-0.01483000,0,2.290,0.250,-0.240,0
K2-153 b,K2-153,1,7.51574000,0.00205000,-0.00240000,0,2.000,0.210,-0.180,0
K2-154 b,K2-154,1,3.67626000,0.00030000,-0.00031000,0,1.990,0.210,-0.110,0
K2-154 c,K2-154,1,7.95486000,0.00084000,-0.00085000,0,2.070,0.180,-0.130,0
K2-155 b,K2-155,1,6.34200000,0.00200000,-0.00200000,0,1.800,0.200,-0.100,0
K2-155 c,K2-155,1,13.85000000,0.00600000,-0.00600000,0,2.600,0.700,-0.200,0
K2-155 d,K2-155,1,40.71800000,0.00500000,-0.00500000,0,1.900,0.700,-0.200,0
K2-156 b,K2-156,1,0.81314300,0.00007700,-0.00007700,0,1.100,0.090,-0.060,0
K2-157 b,K2-157,1,0.36526100,0.00017000,-0.00017000,0,1.000,0.100,-0.080,0
K2-158 b,K2-158,1,10.06049000,0.00134000,-0.00148000,0,2.640,0.160,-0.100,0
K2-158 c,K2-158,1,5.90279000,0.00191000,-0.00233000,0,1.280,0.130,-0.100,0
K2-159 b,K2-159,1,12.42205000,0.00180000,-0.00182000,0,2.260,0.170,-0.110,0
K2-16 b,K2-16,1,7.61880000,0.00087000,-0.00087000,0,2.020,0.240,-0.240,0
K2-16 c,K2-16,1,19.07863000,0.00327000,-0.00327000,0,2.540,1.120,-0.470,0
K2-160 b,K2-160,1,3.70587100,0.00007400,-0.00007600,0,3.178,0.214,-0.145,0
K2-161 b,K2-161,1,9.28318800,0.00205200,-0.00230000,0,6.117,1.633,-0.783,0
K2-162 b,K2-162,1,9.45889000,0.00104000,-0.00107000,0,1.440,0.110,-0.070,0
K2-163 b,K2-163,1,6.67311700,0.00031600,-0.00030300,0,2.466,0.257,-0.124,0
K2-164 b,K2-164,1,17.35506600,0.00409700,-0.00380800,0,3.249,0.515,-0.413,0
K2-165 b,K2-165,1,2.35499200,0.00024600,-0.00026100,0,1.274,0.145,-0.097,0
K2-165 c,K2-165,1,4.38274500,0.00051400,-0.00053600,0,1.554,0.209,-0.110,0
K2-165 d,K2-165,1,14.10136100,0.00114600,-0.00106500,0,2.648,0.253,-0.148,0
K2-166 b,K2-166,1,8.52695000,0.00362000,-0.00370000,0,2.190,0.200,-0.190,0
K2-167 b,K2-167,1,9.97854100,0.00002300,-0.00001900,0,2.365,0.213,-0.146,0
K2-168 b,K2-168,1,15.85230000,0.00250000,-0.00120000,0,1.860,0.240,-0.110,0
K2-169 b,K2-169,1,6.38080300,0.00077800,-0.00069900,0,1.273,0.107,-0.077,0
K2-17 b,K2-17,1,17.96753000,0.00152000,-0.00152000,0,2.230,0.200,-0.200,0
K2-170 b,K2-170,1,7.57654400,0.00184100,-0.00169000,0,1.418,0.202,-0.131,0
K2-170 c,K2-170,1,12.40004700,0.00173500,-0.00188300,0,1.802,0.245,-0.158,0
K2-171 b,K2-171,1,5.62846600,0.00173100,-0.00151900,0,2.687,0.400,-0.332,0
K2-172 b,K2-172,1,14.31694100,0.00144500,-0.00141100,0,1.666,0.160,-0.095,0
K2-172 c,K2-172,1,29.62682000,0.00155500,-0.00160700,0,3.206,0.189,-0.139,0
K2-173 b,K2-173,1,5.86869900,0.00044600,-0.00040800,0,1.608,0.160,-0.105,0
K2-174 b,K2-174,1,19.56230700,0.00007800,-0.00007600,0,2.600,0.100,-0.100,0
K2-175 b,K2-175,1,9.52598800,0.00124100,-0.00128000,0,2.038,0.355,-0.271,0
K2-176 b,K2-176,1,5.32943900,0.00061000,-0.00070900,0,1.491,0.123,-0.093,0
K2-177 b,K2-177,1,14.15518500,0.00315000,-0.00296500,0,2.116,0.283,-0.159,0
K2-178 b,K2-178,1,8.74781800,0.00036300,-0.00035800,0,3.558,0.204,-0.138,0
K2-179 b,K2-179,1,5.17219100,0.00020100,-0.00020200,0,2.513,0.164,-0.121,0
K2-18 b,K2-18,1,32.93962300,0.00009500,-0.00010000,0,2.370,0.220,-0.220,0
K2-18 c,K2-18,1,8.96200000,0.00800000,-0.00800000,0,,,,
K2-180 b,K2-180,1,8.86566300,0.00001100,-0.00001000,0,2.466,0.110,-0.096,0
K2-181 b,K2-181,1,6.89381300,0.00001100,-0.00001100,0,2.836,0.213,-0.157,0
K2-182 b,K2-182,1,4.73696960,0.00000170,-0.00000170,0,2.713,0.111,-0.091,0
K2-183 b,K2-183,1,0.46928500,0.00006400,-0.00006400,0,1.100,0.100,-0.080,0
K2-183 c,K2-183,1,10.78799200,0.00033000,-0.00033000,0,2.300,0.200,-0.100,0
K2-183 d,K2-183,1,22.62034400,0.00006700,-0.00006700,0,2.300,0.200,-0.200,0
K2-184 b,K2-184,1,16.97801020,0.00002370,-0.00002420,0,1.470,0.110,-0.050,0
K2-185 b,K2-185,1,10.61638400,0.00006900,-0.00007400,0,1.150,0.070,-0.070,0
K2-185 c,K2-185,1,52.71349400,0.00015500,-0.00016400,0,2.390,0.090,-0.090,0
K2-186 b,K2-186,1,41.47421900,0.00328800,-0.00431600,0,3.172,0.264,-0.163,0
K2-187 b,K2-187,1,0.77401000,0.00008300,-0.00008300,0,1.200,0.200,-0.200,0
K2-187 c,K2-187,1,2.87151200,0.00012000,-0.00012000,0,1.400,0.200,-0.200,0
K2-187 d,K2-187,1,7.14958400,0.00012000,-0.00012000,0,2.400,0.300,-0.300,0
K2-187 e,K2-187,1,13.60662900,0.00000360,-0.00000360,0,1.900,0.300,-0.300,0
K2-188 b,K2-188,1,1.74216900,0.00045700,-0.00036500,0,1.350,0.110,-0.110,0
K2-188 c,K2-188,1,7.81025300,0.00084600,-0.00084400,0,2.830,0.150,-0.150,0
K2-189 b,K2-189,1,2.58830900,0.00022100,-0.00020700,0,1.520,0.090,-0.090,0
K2-189 c,K2-189,1,6.67919500,0.00038300,-0.00039000,0,2.500,0.120,-0.120,0
K2-19 b,K2-19,1,7.92220000,0.00010000,-0.00010000,0,7.000,0.200,-0.200,0
K2-19 c,K2-19,1,11.89930000,0.00080000,-0.00080000,0,4.100,0.200,-0.200,0
K2-19 d,K2-19,1,2.50810000,0.00020000,-0.00020000,0,1.110,0.050,-0.050,0
K2-190 b,K2-190,1,10.09885800,0.00061900,-0.00064300,0,1.357,0.176,-0.102,0
K2-190 c,K2-190,1,21.57402300,0.00573000,-0.00430200,0,1.093,0.152,-0.092,0
K2-191 b,K2-191,1,2.85864600,0.00017200,-0.00017600,0,1.579,0.265,-0.132,0
K2-192 b,K2-192,1,4.16281700,0.00043200,-0.00044700,0,1.520,0.130,-0.130,0
K2-193 b,K2-193,1,14.78688900,0.00080300,-0.00081000,0,3.950,0.120,-0.120,0
K2-194 b,K2-194,1,39.72138600,0.00570400,-0.00555500,0,3.642,0.618,-0.500,0
K2-195 b,K2-195,1,15.85297500,0.00120100,-0.00116800,0,3.130,0.120,-0.120,0
K2-195 c,K2-195,1,28.48278600,0.00643900,-0.00731000,0,2.576,0.272,-0.149,0
K2-196 b,K2-196,1,48.32422200,0.00845700,-0.00871600,0,3.600,0.603,-0.503,0
K2-197 b,K2-197,1,8.35788100,0.00071000,-0.00068600,0,2.560,0.160,-0.160,0
K2-198 b,K2-198,1,17.04286830,0.00000710,-0.00000350,0,4.189,0.228,-0.098,0
K2-198 c,K2-198,1,3.35960550,0.00000400,-0.00000210,0,1.423,0.081,-0.036,0
K2-198 d,K2-198,1,7.45001770,0.00000520,-0.00000260,0,2.438,0.130,-0.056,0
K2-199 b,K2-199,1,3.22539930,0.00000240,-0.00000240,0,1.730,0.050,-0.040,0
K2-199 c,K2-199,1,7.37448970,0.00000370,-0.00000370,0,2.850,0.100,-0.090,0
K2-200 b,K2-200,1,2.84988300,0.00018800,-0.00018000,0,1.364,0.143,-0.105,0
K2-201 b,K2-201,1,1.05979000,0.00004300,-0.00004400,0,1.400,0.135,-0.077,0
K2-201 c,K2-201,1,22.77987800,0.00195700,-0.00194700,0,3.286,0.398,-0.184,0
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,1,4700.00000000,3000.00000000,-700.00000000,0,,,,
K2-202 b,K2-202,1,3.40516400,0.00012600,-0.00012100,0,2.302,0.184,-0.129,0
K2-203 b,K2-203,1,9.69520000,0.00140000,-0.00140000,0,1.265,0.102,-0.080,0
K2-204 b,K2-204,1,7.05590800,0.00005800,-0.00007400,0,3.172,0.179,-0.157,0
K2-205 b,K2-205,1,26.67226300,0.00416000,-0.00367600,0,1.996,0.270,-0.231,0
K2-206 b,K2-206,1,18.29454900,0.00172800,-0.00159900,0,2.795,0.223,-0.155,0
K2-207 b,K2-207,1,12.48749000,0.00120800,-0.00116200,0,2.606,0.370,-0.209,0
K2-208 b,K2-208,1,4.19097000,0.00023000,-0.00023000,0,1.675,0.123,-0.092,0
K2-209 b,K2-209,1,2.08061500,0.00013400,-0.00013000,0,0.869,0.105,-0.062,0
K2-21 b,K2-21,1,9.32503800,0.00037900,-0.00040300,0,1.840,0.100,-0.100,0
K2-21 c,K2-21,1,15.50192000,0.00091800,-0.00092800,0,2.490,0.170,-0.190,0
K2-210 b,K2-210,1,0.57023000,0.00003200,-0.00003200,0,0.860,0.200,-0.200,0
K2-211 b,K2-211,1,0.66956100,0.00003100,-0.00003200,0,1.332,0.087,-0.072,0
K2-212 b,K2-212,1,9.79564700,0.00002100,-0.00002100,0,2.650,0.200,-0.180,0
K2-213 b,K2-213,1,8.13087000,0.00177100,-0.00179900,0,1.514,0.298,-0.210,0
K2-214 b,K2-214,1,8.59680200,0.00100600,-0.00084700,0,2.430,0.130,-0.130,0
K2-215 b,K2-215,1,8.26964800,0.00046700,-0.00045600,0,2.124,0.259,-0.158,0
K2-216 b,K2-216,1,2.17480000,0.00005000,-0.00005000,0,1.750,0.170,-0.100,0
K2-217 b,K2-217,1,14.07452400,0.00099400,-0.00093800,0,3.579,0.698,-0.485,0
K2-218 b,K2-218,1,8.67988500,0.00041700,-0.00043000,0,2.569,0.275,-0.152,0
K2-219 b,K2-219,1,3.90128700,0.00066000,-0.00067700,0,1.348,0.202,-0.181,0
K2-219 c,K2-219,1,6.66767000,0.00128300,-0.00156900,0,1.438,0.214,-0.192,0
K2-219 d,K2-219,1,11.13727800,0.00080800,-0.00078600,0,2.576,0.357,-0.323,0
K2-22 b,K2-22,1,0.38107300,0.00002400,-0.00002400,0,2.300,0.100,-0.100,0
K2-220 b,K2-220,1,13.68325600,0.00105000,-0.00110000,0,2.390,0.120,-0.120,0
K2-221 b,K2-221,1,2.39909400,0.00012500,-0.00011800,0,1.679,0.167,-0.096,0
K2-222 b,K2-222,1,15.38857000,0.00088000,-0.00088000,0,2.350,0.080,-0.070,0
K2-223 b,K2-223,1,0.50557000,0.00008800,-0.00008800,0,0.890,0.100,-0.090,0
K2-223 c,K2-223,1,4.56254600,0.00014000,-0.00014000,0,1.500,0.100,-0.100,0
K2-224 b,K2-224,1,4.47904000,0.00116000,-0.00132000,0,1.560,0.160,-0.140,0
K2-224 c,K2-224,1,10.09489000,0.00119000,-0.00114000,0,2.410,0.160,-0.120,0
K2-225 b,K2-225,1,15.87230000,0.00210000,-0.00190000,0,3.609,0.280,-0.224,0
K2-226 b,K2-226,1,3.27109000,0.00036000,-0.00039000,0,1.539,0.103,-0.086,0
K2-227 b,K2-227,1,13.62183200,0.00318800,-0.00326800,0,1.666,1.221,-0.179,0
K2-228 b,K2-228,1,2.69828000,0.00022000,-0.00022000,0,1.210,0.100,-0.060,0
K2-229 b,K2-229,1,0.58421600,0.00002200,-0.00002200,0,1.000,0.020,-0.020,0
K2-229 c,K2-229,1,8.32727000,0.00041000,-0.00043000,0,2.030,0.120,-0.060,0
K2-230 b,K2-230,1,2.86041000,0.00061000,-0.00061000,0,1.960,0.180,-0.160,0
K2-231 b,K2-231,1,13.84190100,0.00135200,-0.00135200,0,2.500,0.200,-0.200,0
K2-232 b,K2-232,1,11.16845400,0.00002300,-0.00002300,0,11.209,0.247,-0.224,0
K2-233 b,K2-233,1,2.46750000,0.00004000,-0.00004000,0,1.343,0.018,-0.016,0
K2-233 c,K2-233,1,7.06005000,0.00024000,-0.00027000,0,1.281,0.022,-0.021,0
K2-233 d,K2-233,1,24.36450000,0.00068000,-0.00068000,0,2.358,0.043,-0.036,0
K2-237 b,K2-237,1,2.18053332,0.00000054,-0.00000054,0,16.062,0.628,-0.549,0
K2-238 b,K2-238,1,3.20466000,0.00003000,-0.00003000,0,14.572,1.681,-1.569,0
K2-239 b,K2-239,1,5.24000000,0.00100000,-0.00100000,0,1.100,0.100,-0.100,0
K2-239 c,K2-239,1,7.77500000,0.00100000,-0.00100000,0,1.000,0.100,-0.100,0
K2-239 d,K2-239,1,10.11500000,0.00100000,-0.00100000,0,1.100,0.100,-0.100,0
K2-24 b,K2-24,1,20.88977000,0.00034000,-0.00035000,0,5.400,0.200,-0.200,0
K2-24 c,K2-24,1,42.33910000,0.00120000,-0.00120000,0,7.500,0.300,-0.300,0
K2-240 b,K2-240,1,6.03400000,0.00100000,-0.00100000,0,2.000,0.200,-0.100,0
K2-240 c,K2-240,1,20.52300000,0.00100000,-0.00100000,0,1.800,0.300,-0.100,0
K2-241 b,K2-241,1,26.81990000,0.00245000,-0.00247000,0,2.550,0.180,-0.100,0
K2-242 b,K2-242,1,6.51389000,0.00082000,-0.00083000,0,2.540,0.210,-0.190,0
K2-243 b,K2-243,1,11.54182000,0.00272000,-0.00221000,0,2.170,0.140,-0.120,0
K2-243 c,K2-243,1,24.94598000,0.00491000,-0.00561000,0,2.010,0.150,-0.130,0
K2-244 b,K2-244,1,21.06884000,0.00320000,-0.00325000,0,1.750,0.130,-0.100,0
K2-245 b,K2-245,1,11.89307000,0.00065000,-0.00063000,0,4.340,0.190,-0.140,0
K2-246 b,K2-246,1,5.76918000,0.00081000,-0.00082000,0,3.490,0.250,-0.210,0
K2-247 b,K2-247,1,2.25021000,0.00033000,-0.00036000,0,2.120,0.190,-0.160,0
