# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 18 08:21:10 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_eqtstr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and sy_kmagstr not null)
# CONSTRAINT:  order by pl_eqt asc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,default_flag,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_dist,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
TOI-1937 A b,1,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,0.94667944,0.00000047,-0.00000047,0,0.019320,0.000350,-0.000390,0,13.978,0.661,-0.695,0,638.83510,54.03083,-50.85255,0,2.01000,0.17000,-0.16000,0,0.000000,,,0,3230.00,220.00,-213.00,0,2097,35,-36,0,5814.00,91.00,-93.00,0,1.08,0.03,-0.02,0,1.07,0.06,-0.06,0,0.196,0.084,-0.084,0,4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,415.1350000,2.9290000,-2.8890000,11.2260000,0.0210000,-0.0210000,13.0168000,0.0007410,-0.0007410,12.4933000,0.0061000,-0.0061000
K2-141 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.28032440,0.00000150,-0.00000150,0,0.007470,0.000100,-0.000100,0,1.510,0.050,-0.050,0,4.97000,0.35000,-0.34000,0,0.01564,0.00110,-0.00107,0,0.000000,,,0,3260.00,370.00,-330.00,0,2103,56,-56,0,4570.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.71,0.03,-0.03,0,0.000,0.060,-0.060,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,61.8736000,0.1662000,-0.1654000,8.4010000,0.0230000,-0.0230000,10.7217000,0.0006920,-0.0006920,10.0298000,0.0060000,-0.0060000
WASP-19 b,1,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,0.78883852,0.00000075,-0.00000082,0,0.016520,0.000500,-0.000560,0,15.861,0.493,-0.538,0,366.77398,24.79062,-25.42627,0,1.15400,0.07800,-0.08000,0,0.012600,0.014000,-0.008900,0,3320.00,190.00,-180.00,0,2113,29,-29,0,5616.00,66.00,-65.00,0,1.01,0.03,-0.03,0,0.96,0.09,-0.10,0,0.040,0.250,-0.300,0,4.42,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,268.3250000,1.7200000,-1.6980000,10.4810000,0.0230000,-0.0230000,12.1088000,0.0005330,-0.0005330,11.6044000,0.0060000,-0.0060000
TOI-1444 b,1,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,0.47027430,0.00000110,-0.00000110,0,0.011600,0.000200,-0.000200,0,1.418,0.047,-0.041,0,3.58000,0.76000,-0.75000,0,0.01126,0.00239,-0.00236,0,0.000000,,,0,,,,,2130,33,-33,0,5460.00,66.00,-66.00,0,0.91,0.02,-0.01,0,0.95,0.03,-0.03,0,0.146,0.057,-0.059,0,4.50,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,125.4630000,0.3370000,-0.3350000,9.0610000,0.0210000,-0.0210000,10.6417000,0.0002610,-0.0002610,10.1522000,0.0060000,-0.0060000
HD 20329 b,1,0,<a refstr=MURGAS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221102547M/abstract target=ref>Murgas et al. 2022</a>,0.92611800,0.00005000,-0.00004300,0,0.018000,0.000300,-0.000300,0,1.720,0.070,-0.070,0,7.42000,1.09000,-1.09000,0,0.02335,0.00343,-0.00343,0,0.000000,,,0,3474.00,124.00,-124.00,0,2141,27,-27,0,5596.00,50.00,-50.00,0,1.13,0.02,-0.02,0,0.90,0.05,-0.05,0,-0.070,0.060,-0.060,0,4.40,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,63.6796000,0.2863000,-0.2838000,7.1160000,0.0240000,-0.0240000,8.5908900,0.0002720,-0.0002720,8.1359000,0.0060000,-0.0060000
Kepler-10 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.83749070,0.00000020,-0.00000020,0,0.016850,0.000130,-0.000130,0,1.470,0.030,-0.020,0,3.26000,0.30000,-0.30000,0,0.01026,0.00094,-0.00094,0,0.000000,,,0,3820.00,120.00,-120.00,0,2188,16,-16,0,5708.00,28.00,-28.00,0,1.06,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.150,0.040,-0.040,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,185.5060000,0.8110000,-0.8050000,9.4960000,0.0210000,-0.0210000,10.9191000,0.0003180,-0.0003180,10.4767000,0.0060000,-0.0060000
K2-131 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.36930380,0.00000910,-0.00000910,0,0.009360,0.000140,-0.000140,0,1.690,0.085,-0.058,0,7.90000,1.30000,-1.30000,0,0.02486,0.00409,-0.00409,0,0.000000,,,0,4070.00,280.00,-280.00,0,2223,37,-37,0,5120.00,71.00,-71.00,0,0.76,0.01,-0.01,0,0.80,0.03,-0.03,0,-0.040,0.070,-0.070,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,152.5090000,1.0790000,-1.0630000,10.0510000,0.0260000,-0.0260000,11.8999000,0.0006020,-0.0006020,11.3328000,0.0061000,-0.0061000
Kepler-78 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.35500745,0.00000008,-0.00000008,0,0.009010,0.000120,-0.000190,0,1.201,0.028,-0.028,0,1.68000,0.27000,-0.27000,0,0.00529,0.00085,-0.00085,0,0.000000,,,0,4070.00,240.00,-240.00,0,2223,32,-32,0,5058.00,50.00,-50.00,0,0.75,0.01,-0.01,0,0.78,0.03,-0.05,0,-0.180,0.080,-0.080,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,124.3760000,0.3300000,-0.3290000,9.5860000,0.0150000,-0.0150000,11.5287000,0.0003400,-0.0003400,10.9555000,0.0061000,-0.0061000
EPIC 220674823 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.57129200,0.00001200,-0.00001200,0,0.013260,0.000280,-0.000230,0,1.725,0.039,-0.039,0,8.21000,0.76000,-0.74000,0,0.02583,0.00239,-0.00233,0,0.000000,,,0,4670.00,300.00,-300.00,0,2300,36,-36,0,5532.00,62.00,-62.00,0,0.99,0.01,-0.01,0,0.95,0.06,-0.05,0,0.110,0.050,-0.050,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,244.5900000,3.0440000,-2.9720000,10.3440000,0.0210000,-0.0210000,11.9535000,0.0002200,-0.0002200,11.4574000,0.0078000,-0.0078000
TOI-561 b,1,0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,0.44656880,0.00000070,-0.00000080,0,0.010600,0.000100,-0.000100,0,1.425,0.037,-0.037,0,2.00000,0.23000,-0.23000,0,0.00629,0.00072,-0.00072,0,0.000000,,,0,4745.00,269.00,-269.00,0,2310,33,-33,0,5372.00,70.00,-70.00,0,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0,-0.400,0.050,-0.050,0,4.50,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,85.7990000,0.4988000,-0.4932000,8.3940000,0.0190000,-0.0190000,10.0128000,0.0002780,-0.0002780,9.5273000,0.0060000,-0.0060000
WASP-18 b,1,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,0.94145223,0.00000024,-0.00000024,0,0.020240,0.000290,-0.000310,0,13.899,0.886,-0.886,0,3241.84975,111.23994,-111.23994,0,10.20000,0.35000,-0.35000,0,0.005100,0.007000,-0.003700,0,5805.00,808.00,-639.00,0,2429,77,-70,0,6432.00,48.00,-48.00,0,1.32,0.06,-0.06,0,1.29,0.06,-0.06,0,0.107,0.080,-0.080,0,4.31,0.04,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,123.4830000,0.3710000,-0.3690000,8.1310000,0.0270000,-0.0270000,9.1661700,0.0002360,-0.0002360,8.8287000,0.0060000,-0.0060000
KELT-16 b,1,0,<a refstr=OBERST_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...97O/abstract target=ref>Oberst et al. 2017</a>,0.96899510,0.00000240,-0.00000240,0,0.020440,0.000240,-0.000260,0,15.861,0.942,-0.751,0,874.03250,50.85280,-47.67450,0,2.75000,0.16000,-0.15000,0,0.000000,,,0,,,,,2453,55,-47,0,6236.00,54.00,-54.00,0,1.36,0.06,-0.05,0,1.21,0.04,-0.05,0,-0.002,0.086,-0.085,0,4.25,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,444.5860000,5.5740000,-5.4410000,10.6420000,0.0160000,-0.0160000,11.7959000,0.0003590,-0.0003590,11.4373000,0.0118000,-0.0118000
HD 80653 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.71957300,0.00002100,-0.00002100,0,0.016610,0.000190,-0.000190,0,1.613,0.071,-0.071,0,5.72000,0.36000,-0.35000,0,0.01800,0.00113,-0.00110,0,0.000000,,,0,6130.00,310.00,-310.00,0,2463,30,-30,0,5959.00,61.00,-61.00,0,1.22,0.01,-0.01,0,1.18,0.04,-0.04,0,0.255,0.065,-0.065,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,109.8600000,0.8110000,-0.8000000,8.0180000,0.0210000,-0.0210000,9.3073300,0.0003460,-0.0003460,8.8909800,0.0063000,-0.0063000
WASP-103 b,1,0,<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562L...3G/abstract target=ref> Gillon et al. 2014 </a>,0.92554200,0.00001900,-0.00001900,0,0.019850,0.000210,-0.000210,0,17.127,0.818,-0.527,0,473.54700,27.96800,-27.96800,0,1.49000,0.08800,-0.08800,0,,,,,,,,,2508,75,-70,0,6110.00,160.00,-160.00,0,1.44,0.05,-0.03,0,1.22,0.04,-0.04,0,0.060,0.130,-0.130,0,4.22,0.12,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,375.6470000,,,10.7670000,0.0200000,-0.0200000,12.1931000,0.0004280,-0.0004280,11.7586000,0.0060000,-0.0060000
TOI-2260 b,1,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.35247280,0.00000470,-0.00000470,0,0.009700,0.000100,-0.000100,0,1.620,0.130,-0.130,0,,,,,,,,,,,,,,,,,2609,86,-86,0,5534.00,100.00,-100.00,0,0.94,0.05,-0.05,0,0.99,0.04,-0.04,0,0.220,0.060,-0.060,0,4.62,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,101.2510000,0.2840000,-0.2830000,8.6840000,0.0160000,-0.0160000,10.2488000,0.0008160,-0.0008160,9.7587400,0.0064000,-0.0064000
TOI-2109 b,1,0,<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>,0.67247414,0.00000003,-0.00000028,0,0.017910,0.000650,-0.000650,0,15.098,0.527,-0.527,0,1595.49860,238.37131,-238.37131,0,5.02000,0.75000,-0.75000,0,,,,,,,,,3646,88,-88,0,6540.00,160.00,-160.00,0,1.70,0.06,-0.06,0,1.45,0.07,-0.07,0,0.068,0.070,-0.062,0,4.14,0.04,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,262.0410000,2.7530000,-2.6980000,9.0700000,0.0210000,-0.0210000,10.1138000,0.0003420,-0.0003420,9.7856900,0.0061000,-0.0061000
