# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 23 04:26:32 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and sy_kmagstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
EPIC 220674823 b,EPIC 220674823,1,0.57129200,0.00001200,-0.00001200,0,0.013260,0.000280,-0.000230,0,1.725,0.039,-0.039,0,8.21000,0.76000,-0.74000,0,0.000000,,,0,4670.00,300.00,-300.00,0,2300,36,-36,0,,5532.00,62.00,-62.00,0,0.99,0.01,-0.01,0,0.95,0.06,-0.05,0,0.110,0.050,-0.050,0,,,,,244.5900000,3.0440000,-2.9720000,12.1010000,0.0310000,-0.0310000,10.3440000,0.0210000,-0.0210000,11.4574000,0.0078000,-0.0078000
Wolf 327 b,Wolf 327,1,0.57347450,0.00000030,-0.00000030,0,0.010000,0.000400,-0.000400,0,1.240,0.060,-0.060,0,2.53000,0.46000,-0.46000,0,0.000000,,,0,233.90,18.30,-18.30,0,996,22,-22,0,M2.5 V,3542.00,70.00,-70.00,0,0.41,0.01,-0.01,0,0.41,0.02,-0.02,0,-0.170,0.040,-0.040,0,4.87,0.05,-0.05,0,28.5321000,0.0512000,-0.0512000,13.0180000,0.0620000,-0.0620000,8.4350000,0.0170000,-0.0170000,10.7818000,0.0075379,-0.0075379
Kepler-1228 b,Kepler-1228,1,0.57736958,0.00000041,-0.00000041,0,,,,,1.540,0.110,-0.140,0,,,,,,,,,,,,,,,,,,5063.00,94.76,-81.19,0,0.74,0.05,-0.07,0,0.78,0.05,-0.06,0,-0.180,0.179,-0.248,0,4.59,0.04,-0.05,0,515.4530000,5.4240000,-5.4240000,15.0610000,0.1030000,-0.1030000,12.7990000,0.0250000,-0.0250000,14.2710000,0.0061000,-0.0061000
EPIC 212624936 b,EPIC 212624936,1,0.57865700,0.00001600,-0.00001600,0,,,,,1.200,0.300,-0.300,0,,,,,,,,,,,,,,,,,,5765.00,170.00,-170.00,0,0.93,0.20,-0.20,0,,,,,-0.390,0.250,-0.250,0,4.40,0.07,-0.07,0,561.9290000,8.9130000,-8.6440000,13.9760000,0.1370000,-0.1370000,12.2920000,0.0270000,-0.0270000,13.3582000,0.0082000,-0.0082000
K2-229 b,K2-229,1,0.58421600,0.00002200,-0.00002200,0,,,,,1.000,0.020,-0.020,0,,,,,,,,,,,,,,,,,,5315.00,35.00,-35.00,0,0.79,0.01,-0.01,0,,,,,-0.090,0.020,-0.020,0,4.60,0.01,-0.01,0,102.5640000,1.0930000,-1.0700000,10.9850000,0.0170000,-0.0170000,9.0500000,0.0230000,-0.0230000,10.2496000,0.0064000,-0.0064000
Kepler-1203 b,Kepler-1203,1,0.58800076,0.00000058,-0.00000058,0,,,,,1.060,0.060,-0.040,0,,,,,,,,,,,,,,,,,,4105.00,43.70,-35.84,0,0.61,0.01,-0.02,0,0.64,0.02,-0.02,0,0.010,0.092,-0.088,0,4.67,0.01,-0.01,0,317.0220000,2.9400000,-2.8860000,15.3850000,0.0920000,-0.0920000,12.0590000,0.0220000,-0.0220000,14.0801000,0.0062000,-0.0062000
TOI-1075 b,TOI-1075,1,0.60473280,0.00000320,-0.00000320,0,0.011590,0.000230,-0.000200,0,1.791,0.116,-0.081,0,9.95000,1.36000,-1.30000,0,0.000000,,,0,509.20,18.70,-20.40,0,1323,44,-44,0,K9 V/M0 V,3875.00,75.00,-75.00,0,0.58,0.02,-0.02,0,0.60,0.03,-0.03,0,-0.080,0.090,-0.090,0,,,,,61.4592000,0.0943500,-0.0943500,12.6150000,0.0690000,-0.0690000,9.1150000,0.0230000,-0.0230000,11.1186000,0.0072581,-0.0072581
Kepler-1814 c,Kepler-1814,1,0.62628177,0.00000104,-0.00000104,0,0.013300,,,0,1.760,0.130,-0.180,0,,,,,0.000000,,,0,2011.27,650.70,-604.94,0,1711,,,0,,4922.00,169.00,-169.00,0,0.82,0.06,-0.09,0,0.79,0.07,-0.05,0,0.200,0.200,-0.300,0,4.50,0.08,-0.06,0,726.3460000,15.2670000,-14.6610000,15.8140000,0.3320000,-0.3320000,13.3930000,0.0430000,-0.0430000,14.9440000,0.0069000,-0.0069000
Kepler-808 b,Kepler-808,1,0.63133235,0.00000035,-0.00000035,0,,,,,1.460,0.060,-0.080,0,,,,,,,,,,,,,,,,,,4653.00,51.38,-57.30,0,0.71,0.02,-0.04,0,0.76,0.03,-0.05,0,0.050,0.154,-0.207,0,4.62,0.02,-0.01,0,,,,14.5190000,0.1030000,-0.1030000,11.8790000,0.0220000,-0.0220000,13.6653000,0.0065000,-0.0065000
Kepler-1356 b,Kepler-1356,1,0.63400294,0.00000120,-0.00000120,0,,,,,1.530,0.110,-0.100,0,,,,,,,,,,,,,,,,,,5106.00,65.11,-84.13,0,0.78,0.04,-0.04,0,0.82,0.04,-0.04,0,-0.020,0.142,-0.158,0,4.58,0.03,-0.05,0,845.2280000,23.5350000,-22.3150000,15.8870000,0.0920000,-0.0920000,13.7340000,0.0430000,-0.0430000,15.1311000,0.0080000,-0.0080000
Kepler-1415 b,Kepler-1415,1,0.63642408,0.00000160,-0.00000160,0,,,,,1.290,0.120,-0.080,0,,,,,,,,,,,,,,,,,,5267.00,55.51,-59.06,0,0.84,0.06,-0.04,0,0.89,0.04,-0.04,0,0.120,0.145,-0.148,0,4.54,0.03,-0.07,0,1043.5600000,40.6000000,-37.7100000,15.9370000,0.1490000,-0.1490000,13.9510000,0.0650000,-0.0650000,15.1438000,0.0076000,-0.0076000
Kepler-607 b,Kepler-607,1,0.63816320,0.00000168,-0.00000168,0,,,,,0.870,0.060,-0.070,0,,,,,,,,,,,,,,,,,,5196.00,94.48,-118.36,0,0.80,0.05,-0.04,0,0.84,0.04,-0.04,0,-0.020,0.146,-0.158,0,4.56,0.03,-0.06,0,519.1220000,5.4070000,-5.4070000,14.6720000,0.2060000,-0.2060000,12.4260000,0.0190000,-0.0190000,13.7946000,0.0078000,-0.0078000
Kepler-158 d,Kepler-158,1,0.64508800,0.00000200,-0.00000200,0,,,,,0.430,0.050,-0.050,0,,,,,,,,,,,,,,,,,K,4895.97,,,0,0.67,0.05,-0.06,0,0.66,0.07,-0.05,0,,,,,,,,,315.1770000,2.1110000,-2.0830000,14.7430000,0.1260000,-0.1260000,12.0570000,0.0210000,-0.0210000,13.7340000,0.0094000,-0.0094000
Kepler-879 c,Kepler-879,1,0.64671600,0.00000300,-0.00000300,0,,,,,0.400,0.100,-0.100,0,,,,,,,,,,,,,,,,,G,5456.75,,,0,1.02,0.29,-0.15,0,0.97,0.13,-0.10,0,,,,,,,,,802.6720000,10.9420000,-10.6560000,14.4290000,0.0690000,-0.0690000,12.6810000,0.0240000,-0.0240000,13.7600000,0.0065000,-0.0065000
Kepler-1520 b,Kepler-1520,1,0.65355357,0.00000016,-0.00000016,0,,,,,5.770,0.220,-0.300,0,,,,,,,,,,,,,,,,,,4677.00,82.29,-71.28,0,0.71,0.03,-0.03,0,0.76,0.03,-0.04,0,0.040,0.144,-0.152,0,4.61,0.02,-0.03,0,607.9170000,11.4560000,-11.0470000,16.0020000,0.4690000,-0.4690000,13.3190000,0.0350000,-0.0350000,14.9870000,0.0071000,-0.0071000
K2-266 b,K2-266,1,0.65852400,0.00001700,-0.00001700,0,0.013060,0.000200,-0.000210,0,3.300,1.800,-1.300,0,11.26782,11.37120,-11.37120,0,,,,,879.50,43.40,-40.40,0,1515,18,-18,0,,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,-0.120,0.400,-0.420,0,4.58,0.03,-0.04,0,77.5586000,0.3581000,-0.3549000,11.6250000,0.0460000,-0.0460000,8.8970000,0.0230000,-0.0230000,10.6269000,0.0061000,-0.0061000
Kepler-1259 b,Kepler-1259,1,0.66308526,0.00000087,-0.00000087,0,,,,,1.430,0.070,-0.100,0,,,,,,,,,,,,,,,,,,5053.00,113.64,-67.62,0,0.77,0.04,-0.04,0,0.80,0.04,-0.05,0,-0.070,0.144,-0.169,0,4.58,0.03,-0.05,0,805.5620000,16.6880000,-16.0360000,15.5560000,0.0570000,-0.0570000,13.2800000,0.0330000,-0.0330000,14.7354000,0.0089000,-0.0089000
Kepler-1284 b,Kepler-1284,1,0.66407381,0.00000148,-0.00000148,0,,,,,1.210,0.100,-0.070,0,,,,,,,,,,,,,,,,,,5123.00,62.80,-83.53,0,0.79,0.05,-0.04,0,0.84,0.04,-0.04,0,0.030,0.170,-0.175,0,4.57,0.03,-0.05,0,882.3240000,24.1430000,-22.9110000,15.9120000,0.1260000,-0.1260000,13.5720000,0.0330000,-0.0330000,15.0484000,0.0066000,-0.0066000
Kepler-1340 b,Kepler-1340,1,0.66502692,0.00000160,-0.00000160,0,,,,,1.550,0.700,-0.270,0,,,,,,,,,,,,,,,,,,6331.00,166.81,-219.14,0,1.42,0.64,-0.25,0,1.27,0.20,-0.14,0,0.070,0.146,-0.139,0,4.24,0.13,-0.26,0,981.7790000,24.3710000,-23.2360000,15.0030000,0.1370000,-0.1370000,13.2400000,0.0280000,-0.0280000,14.2772000,0.0075000,-0.0075000
TOI-1685 b,TOI-1685,1,0.66913924,0.00000042,-0.00000042,0,0.011380,0.000350,-0.000340,0,1.468,0.050,-0.051,0,3.03000,0.33000,-0.32000,0,0.000000,,,0,236.00,15.00,-15.00,0,1062,27,-27,0,M2.65 V,3575.00,53.00,-53.00,0,0.46,0.01,-0.01,0,0.45,0.02,-0.02,0,0.300,0.100,-0.100,0,,,,,37.6153000,0.0728000,-0.0725000,13.3780000,0.0280000,-0.0280000,8.7580000,0.0200000,-0.0200000,11.1117000,0.0072649,-0.0072649
Kepler-407 b,Kepler-407,1,0.66931000,,,0,,,,,1.070,0.020,-0.020,0,3.20000,,,1,,,,,,,,,,,,,,5476.00,75.00,-75.00,0,1.01,0.07,-0.07,0,1.00,0.06,-0.06,0,0.330,0.070,-0.070,0,4.43,0.06,-0.06,0,338.3680000,2.5310000,-2.4950000,12.6030000,0.1030000,-0.1030000,10.9110000,0.0230000,-0.0230000,12.0108000,0.0071000,-0.0071000
K2-211 b,K2-211,1,0.66956100,0.00003100,-0.00003200,0,0.014190,0.000210,-0.000200,0,1.332,0.087,-0.072,0,,,,,0.190000,0.300000,-0.140000,0,,,,,1873,22,-21,0,,5117.00,85.00,-86.00,0,0.82,0.03,-0.03,0,0.85,0.04,-0.04,0,0.134,0.077,-0.078,0,4.54,0.03,-0.03,0,272.2970000,4.1790000,-4.0570000,13.1547000,0.0459000,-0.0459000,11.1040000,0.0240000,-0.0240000,12.3830000,0.0072000,-0.0072000
TOI-2109 b,TOI-2109,1,0.67247414,0.00000003,-0.00000028,0,0.017910,0.000650,-0.000650,0,15.098,0.527,-0.527,0,1595.49860,238.37131,-238.37131,0,,,,,,,,,3646,88,-88,0,F,6540.00,160.00,-160.00,0,1.70,0.06,-0.06,0,1.45,0.07,-0.07,0,0.068,0.070,-0.062,0,4.14,0.04,-0.05,0,262.0410000,2.7530000,-2.6980000,10.2170000,0.0040000,-0.0040000,9.0700000,0.0210000,-0.0210000,9.7856900,0.0061000,-0.0061000
K2-396 b,K2-396,1,0.67386200,0.00001600,-0.00001900,0,,,,,1.579,0.114,-0.103,0,,,,,,,,,,,,,,,,,,5236.00,138.00,-138.00,0,0.92,0.06,-0.06,0,0.95,0.43,-0.29,0,0.237,0.235,-0.235,0,4.49,0.15,-0.15,0,274.8640000,2.8840000,-2.8250000,13.3200000,0.0690000,-0.0690000,10.8110000,0.0200000,-0.0200000,12.2978000,0.0061000,-0.0061000
Kepler-1368 b,Kepler-1368,1,0.67564949,0.00000255,-0.00000255,0,,,,,1.650,0.350,-0.170,0,,,,,,,,,,,,,,,,,,5906.00,120.57,-160.03,0,1.08,0.22,-0.11,0,1.07,0.08,-0.06,0,0.100,0.148,-0.139,0,4.40,0.07,-0.15,0,1635.8200000,139.9900000,-119.8600000,15.9140000,1.1330000,-1.1330000,14.3880000,0.0840000,-0.0840000,15.3613000,0.0088000,-0.0088000
Kepler-780 b,Kepler-780,1,0.67737516,0.00000125,-0.00000125,0,,,,,0.890,0.090,-0.060,0,,,,,,,,,,,,,,,,,,5769.00,62.55,-57.06,0,1.02,0.10,-0.06,0,1.01,0.03,-0.03,0,0.050,0.089,-0.092,0,4.42,0.06,-0.08,0,557.6520000,,,13.4640000,0.0920000,-0.0920000,11.8240000,0.0130000,-0.0130000,12.8925000,0.0061000,-0.0061000
Kepler-1310 b,Kepler-1310,1,0.67933627,0.00000072,-0.00000072,0,,,,,1.440,0.160,-0.120,0,,,,,,,,,,,,,,,,,,5549.00,136.60,-124.53,0,0.88,0.10,-0.07,0,0.91,0.05,-0.06,0,-0.070,0.151,-0.183,0,4.51,0.05,-0.10,0,569.1850000,6.7570000,-6.6030000,14.3460000,0.1140000,-0.1140000,12.4360000,0.0210000,-0.0210000,13.6217000,0.0083000,-0.0083000
Kepler-1489 c,Kepler-1489,1,0.68074100,0.00000400,-0.00000400,0,,,,,0.510,0.080,-0.080,0,,,,,,,,,,,,,,,,,G,5565.53,,,0,0.96,0.13,-0.07,0,0.98,0.05,-0.06,0,,,,,,,,,1283.0500000,36.0700000,-34.1800000,14.9830000,0.0570000,-0.0570000,13.2470000,0.0290000,-0.0290000,14.3412000,0.0069000,-0.0069000
Kepler-1604 b,Kepler-1604,1,0.68368426,0.00000063,-0.00000063,0,,,,,1.410,0.190,-0.110,0,,,,,,,,,,,,,,,,,,4976.00,49.62,-51.36,0,0.76,0.03,-0.03,0,0.81,0.03,-0.04,0,0.020,0.151,-0.164,0,4.59,0.02,-0.04,0,541.1890000,6.3290000,-6.1880000,15.2240000,0.0920000,-0.0920000,12.8210000,0.0260000,-0.0260000,14.2760000,0.0068000,-0.0068000
K2-85 b,K2-85,1,0.68455900,0.00001000,-0.00001000,0,,,,,1.200,0.080,-0.070,0,,,,,,,,,,,,,,,,,,4427.00,48.00,-48.00,0,0.68,0.03,-0.03,0,,,,,-0.360,0.050,-0.050,0,4.30,0.10,-0.10,0,97.2179000,0.3824000,-0.3794000,12.4160000,0.0690000,-0.0690000,9.4660000,0.0180000,-0.0180000,11.2967000,0.0060000,-0.0060000
Kepler-1446 b,Kepler-1446,1,0.68996783,0.00000050,-0.00000050,0,,,,,0.820,0.040,-0.020,0,,,,,,,,,,,,,,,,,,4865.00,43.69,-52.46,0,0.75,0.01,-0.01,0,0.81,0.02,-0.02,0,0.110,0.102,-0.097,0,4.60,0.01,-0.01,0,152.0750000,0.6770000,-0.6710000,12.5950000,0.0460000,-0.0460000,10.2040000,0.0140000,-0.0140000,11.7532000,0.0063000,-0.0063000
Kepler-1547 b,Kepler-1547,1,0.69297968,0.00000149,-0.00000149,0,,,,,0.900,0.280,-0.120,0,,,,,,,,,,,,,,,,,,6078.00,94.46,-139.23,0,1.18,0.36,-0.14,0,1.12,0.10,-0.08,0,0.040,0.134,-0.151,0,4.34,0.09,-0.19,0,674.6950000,6.0290000,-5.9240000,13.4640000,0.1140000,-0.1140000,11.9960000,0.0200000,-0.0200000,12.9688000,0.0073000,-0.0073000
Kepler-1087 b,Kepler-1087,1,0.69384285,0.00000159,-0.00000159,0,,,,,0.610,0.170,-0.050,0,,,,,,,,,,,,,,,,,,5589.00,122.90,-191.41,0,0.94,0.26,-0.07,0,0.96,0.07,-0.06,0,0.010,0.153,-0.255,0,4.48,0.06,-0.20,0,362.6230000,3.5080000,-3.4430000,12.9730000,0.0570000,-0.0570000,11.2130000,0.0180000,-0.0180000,12.3778000,0.0091000,-0.0091000
EPIC 220554210 c,K2-282,1,0.70531000,0.00003700,-0.00003700,0,,,,,1.600,0.100,-0.100,0,,,,,,,,,,,,,,,,,,5499.00,109.00,-109.00,0,1.00,0.04,-0.04,0,,,,,-0.230,0.160,-0.160,0,4.50,0.04,-0.04,0,496.2890000,7.9020000,-7.6630000,14.2100000,0.1140000,-0.1140000,12.0020000,0.0210000,-0.0210000,13.2667000,0.0076000,-0.0076000
SPECULOOS-3 b,SPECULOOS-3,1,0.71912603,0.00000057,-0.00000057,0,0.007330,0.000055,-0.000055,0,0.977,0.022,-0.022,0,,,,,,,,,15.54,0.42,-0.42,0,553,8,-8,0,M6.5+/-0.5,2800.00,29.00,-29.00,0,0.12,0.00,0.00,0,0.10,0.00,0.00,0,0.070,0.100,-0.100,0,5.26,0.01,-0.01,0,,,,17.8000000,0.2000000,-0.2000000,10.5410000,0.0160000,-0.0160000,13.7314000,0.0079491,-0.0079491
HD 80653 b,HD 80653,1,0.71957300,0.00002100,-0.00002100,0,0.016610,0.000190,-0.000190,0,1.613,0.071,-0.071,0,5.72000,0.36000,-0.35000,0,0.000000,,,0,6130.00,310.00,-310.00,0,2463,30,-30,0,,5959.00,61.00,-61.00,0,1.22,0.01,-0.01,0,1.18,0.04,-0.04,0,0.255,0.065,-0.065,0,,,,,109.8600000,0.8110000,-0.8000000,9.4520000,0.0030000,-0.0030000,8.0180000,0.0210000,-0.0210000,8.8909800,0.0063000,-0.0063000
EPIC 201427007 b,EPIC 201427007,1,0.72091000,0.00014000,-0.00014000,0,,,,,1.500,0.200,-0.200,0,,,,,,,,,,,,,,,,,,5633.00,111.00,-111.00,0,0.94,0.09,-0.09,0,,,,,-0.053,0.240,-0.240,0,4.40,0.07,-0.07,0,706.3910000,16.7900000,-16.7900000,14.3210000,0.1720000,-0.1720000,12.5810000,0.0290000,-0.0290000,13.6514000,0.0067000,-0.0067000
Kepler-1855 b,Kepler-1855,1,0.72733098,,,0,,,,,1.216,,,0,,,,,,,,,,,,,,,,,,3460.00,69.00,-83.00,0,0.36,0.06,-0.06,0,0.39,0.06,-0.08,0,0.070,0.150,-0.150,0,4.92,0.06,-0.07,0,,,,16.5560000,0.1140000,-0.1140000,12.0320000,0.0280000,-0.0280000,14.3443000,0.0084677,-0.0084677
EPIC 228836835 b,EPIC 228836835,1,0.72811300,0.00006300,-0.00006300,0,,,,,1.100,0.300,-0.200,0,,,,,,,,,,,,,,,,,,3782.00,152.00,-152.00,0,0.32,0.07,-0.07,0,,,,,-0.180,0.250,-0.250,0,5.00,0.07,-0.07,0,150.1240000,1.7990000,-1.7580000,16.7700000,0.2000000,-0.2000000,12.0200000,0.0270000,-0.0270000,14.2591000,0.0073441,-0.0073441
TOI-206 b,TOI-206,1,0.73631040,0.00000030,-0.00000030,0,0.011200,0.000100,-0.000100,0,1.300,0.050,-0.050,0,,,,,,,,,,,,,910,36,-36,0,,3383.00,157.00,-157.00,0,0.35,0.01,-0.01,0,0.35,0.01,-0.01,0,,,,,4.89,0.03,-0.03,0,47.7465000,0.1100000,-0.1095000,14.9380000,0.1260000,-0.1260000,10.0600000,0.0220000,-0.0220000,12.4312000,0.0075286,-0.0075286
55 Cnc e,55 Cnc,1,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,0.050000,0.030000,-0.030000,0,,,,,,,,,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,4.43,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.2058000,0.0061000,-0.0061000
Kepler-1377 b,Kepler-1377,1,0.74092842,0.00000185,-0.00000185,0,,,,,1.250,0.090,-0.080,0,,,,,,,,,,,,,,,,,,5218.00,42.47,-53.61,0,0.82,0.05,-0.04,0,0.86,0.04,-0.04,0,0.050,0.136,-0.140,0,4.55,0.03,-0.07,0,1146.1000000,54.2500000,-49.6300000,15.8570000,0.0920000,-0.0920000,13.9840000,0.0650000,-0.0650000,15.3427000,0.0067000,-0.0067000
Kepler-32 f,Kepler-32,1,0.74296000,0.00007000,-0.00007000,0,0.013000,,,0,0.820,0.070,-0.070,0,,,,,,,,,,,,,,,,,,3900.00,200.00,-200.00,0,0.53,0.04,-0.04,0,0.58,0.05,-0.05,0,0.000,0.400,-0.400,0,4.64,0.30,-0.30,0,323.8470000,3.4025000,-3.4025000,16.3600000,0.5490000,-0.5490000,12.7570000,0.0240000,-0.0240000,14.8153000,0.0074467,-0.0074467
Kepler-1067 b,Kepler-1067,1,0.76212926,0.00000273,-0.00000273,0,,,,,0.800,0.120,-0.060,0,,,,,,,,,,,,,,,,,,5592.00,63.05,-65.87,0,0.93,0.16,-0.06,0,0.95,0.04,-0.04,0,0.030,0.132,-0.172,0,4.49,0.05,-0.14,0,667.6930000,8.3250000,-8.1260000,14.3950000,0.0800000,-0.0800000,12.6560000,0.0330000,-0.0330000,13.7729000,0.0065000,-0.0065000
EPIC 220492298 b,EPIC 220492298,1,0.76240600,0.00015000,-0.00015000,0,,,,,0.990,0.100,-0.100,0,,,,,,,,,,,,,,,,,,5620.00,31.00,-31.00,0,0.89,0.09,-0.09,0,,,,,0.280,0.030,-0.030,0,4.50,0.08,-0.08,0,624.5120000,14.9470000,-14.9470000,13.9910000,0.0920000,-0.0920000,12.1680000,0.0260000,-0.0260000,13.2689000,0.0066000,-0.0066000
Kepler-290 d,Kepler-290,1,0.76401755,0.00000377,-0.00000377,0,0.015400,,,0,0.860,0.120,-0.070,0,,,,,0.000000,,,0,1503.79,649.53,-390.73,0,1589,,,0,,5142.00,153.00,-153.00,0,0.76,0.10,-0.07,0,0.84,0.07,-0.09,0,-0.060,0.300,-0.300,0,4.60,0.03,-0.08,0,694.6270000,14.5180000,-13.9460000,15.7750000,0.0800000,-0.0800000,13.4520000,0.0380000,-0.0380000,14.9548000,0.0066000,-0.0066000
Kepler-1409 b,Kepler-1409,1,0.76486493,0.00000240,-0.00000240,0,,,,,1.040,0.080,-0.070,0,,,,,,,,,,,,,,,,,,5160.00,76.61,-73.84,0,0.79,0.04,-0.04,0,0.83,0.04,-0.04,0,-0.030,0.147,-0.155,0,4.57,0.03,-0.06,0,694.8900000,9.8035000,-9.8035000,15.3910000,0.0460000,-0.0460000,13.2480000,0.0340000,-0.0340000,14.5815000,0.0068000,-0.0068000
