# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec  6 02:54:57 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
K2-146 c,K2-146,1,1,2,0,4.00498000,0.00011000,-0.00011000,0,,,,,2.190,0.070,-0.070,0,7.49000,0.24000,-0.24000,0,0.075000,0.016000,-0.016000,0,,3385.00,70.00,-70.00,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,79.3002000,0.4780000,-0.4723000
K2-18 b,K2-18,1,1,2,0,32.93962300,0.00009500,-0.00010000,0,0.142900,0.006000,-0.006500,0,2.370,0.220,-0.220,0,8.92000,1.70000,-1.60000,0,0.200000,0.080000,-0.080000,0,,3457.00,39.00,-39.00,0,0.41,0.04,-0.04,0,0.36,0.05,-0.05,0,38.0266000,0.0795500,-0.0795500
K2-180 b,K2-180,1,1,1,0,8.86566300,0.00001100,-0.00001000,0,0.075600,0.001200,-0.001000,0,2.466,0.110,-0.096,0,11.41004,2.38371,-2.16123,0,0.075000,0.080000,-0.051000,0,,5365.00,92.00,-92.00,0,0.72,0.03,-0.02,0,0.73,0.04,-0.03,0,203.8960000,1.7420000,-1.7120000
K2-182 b,K2-182,1,1,1,0,4.73696960,0.00000170,-0.00000170,0,0.051740,0.000750,-0.000700,0,2.713,0.111,-0.091,0,20.97667,5.40308,-5.08525,0,0.071000,0.110000,-0.051000,0,,5128.00,79.00,-80.00,0,0.79,0.03,-0.02,0,0.82,0.04,-0.03,0,154.8300000,1.2560000,-1.2360000
K2-19 b,K2-19,1,1,3,0,7.92220000,0.00010000,-0.00010000,0,,,,,7.000,0.200,-0.200,0,32.40000,1.70000,-1.70000,0,0.200000,0.030000,-0.030000,0,,5322.00,100.00,-100.00,0,0.82,0.03,-0.03,0,0.88,0.03,-0.03,0,289.8270000,5.6800000,-5.4690000
K2-19 c,K2-19,1,1,3,0,11.89930000,0.00080000,-0.00080000,0,,,,,4.100,0.200,-0.200,0,10.80000,0.60000,-0.60000,0,0.210000,0.030000,-0.030000,0,,5322.00,100.00,-100.00,0,0.82,0.03,-0.03,0,0.88,0.03,-0.03,0,289.8270000,5.6800000,-5.4690000
K2-19 d,K2-19,1,1,3,0,2.50810000,0.00020000,-0.00020000,0,,,,,1.110,0.050,-0.050,0,10.00000,,,1,,,,,,5322.00,100.00,-100.00,0,0.82,0.03,-0.03,0,0.88,0.03,-0.03,0,289.8270000,5.6800000,-5.4690000
K2-199 b,K2-199,1,1,2,0,3.22539930,0.00000240,-0.00000240,0,0.038200,0.000400,-0.000400,0,1.730,0.050,-0.040,0,6.90000,1.80000,-1.80000,0,0.020000,0.030000,-0.020000,0,,4491.00,100.00,-100.00,0,0.68,0.01,-0.01,0,0.71,0.02,-0.02,0,107.5180000,0.6020000,-0.5960000
K2-199 c,K2-199,1,1,2,0,7.37448970,0.00000370,-0.00000370,0,0.066200,0.000700,-0.000700,0,2.850,0.100,-0.090,0,12.40000,2.30000,-2.30000,0,0.030000,0.060000,-0.030000,0,,4491.00,100.00,-100.00,0,0.68,0.01,-0.01,0,0.71,0.02,-0.02,0,107.5180000,0.6020000,-0.5960000
K2-216 b,K2-216,1,1,1,0,2.17480000,0.00005000,-0.00005000,0,0.028000,0.003000,-0.007000,0,1.750,0.170,-0.100,0,8.00000,1.60000,-1.60000,0,0.000000,,,0,K5 V,4503.00,69.00,-69.00,0,0.72,0.03,-0.03,0,0.70,0.03,-0.03,0,115.4610000,0.7100000,-0.7010000
K2-222 b,K2-222,1,1,1,0,15.38857000,0.00088000,-0.00088000,0,0.120600,0.002900,-0.002900,0,2.350,0.080,-0.070,0,8.70000,1.70000,-1.70000,0,0.160000,,,1,,5942.00,119.00,-119.00,0,1.11,0.03,-0.03,0,0.99,0.07,-0.07,0,101.3210000,0.6320000,-0.6250000
K2-232 b,K2-232,1,1,1,0,11.16845400,0.00002300,-0.00002300,0,0.103560,0.000810,-0.000770,0,11.209,0.247,-0.224,0,126.49634,11.75971,-11.75971,0,0.258000,0.025000,-0.025000,0,,6154.00,60.00,-60.00,0,1.16,0.02,-0.02,0,1.19,0.03,-0.03,0,130.7200000,0.7680000,-0.7590000
K2-233 b,K2-233,1,1,3,0,2.46750000,0.00004000,-0.00004000,0,0.033080,0.000100,-0.000090,0,1.343,0.018,-0.016,0,11.26000,,,1,0.079000,0.048000,-0.029000,0,,5033.00,41.00,-35.00,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,67.5062000,0.2799000,-0.2775000
K2-233 c,K2-233,1,1,3,0,7.06005000,0.00024000,-0.00027000,0,0.066660,0.000200,-0.000180,0,1.281,0.022,-0.021,0,12.81000,,,1,0.200200,,,1,,5033.00,41.00,-35.00,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,67.5062000,0.2799000,-0.2775000
K2-233 d,K2-233,1,1,3,0,24.36450000,0.00068000,-0.00068000,0,0.152240,0.000460,-0.000420,0,2.358,0.043,-0.036,0,21.14000,,,1,0.199900,,,1,,5033.00,41.00,-35.00,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,67.5062000,0.2799000,-0.2775000
K2-237 b,K2-237,1,1,1,0,2.18053332,0.00000054,-0.00000054,0,0.035520,0.000510,-0.000600,0,16.062,0.628,-0.549,0,434.15360,34.96112,-29.24021,0,0.030000,0.033000,-0.021000,0,,6180.00,160.00,-140.00,0,1.24,0.04,-0.04,0,1.26,0.06,-0.06,0,314.9950000,7.2210000,-6.9100000
K2-238 b,K2-238,1,1,1,0,3.20466000,0.00003000,-0.00003000,0,0.046000,0.007000,-0.006000,0,14.572,1.681,-1.569,0,273.33380,41.31790,-38.13960,0,0.000000,,,0,G2 V,5630.00,78.00,-78.00,0,1.59,0.16,-0.16,0,1.19,0.08,-0.08,0,537.9630000,,
K2-24 b,K2-24,1,1,2,0,20.88977000,0.00034000,-0.00035000,0,,,,,5.400,0.200,-0.200,0,19.00000,2.20000,-2.10000,0,0.060000,0.010000,-0.010000,0,,5625.00,60.00,-60.00,0,1.16,0.04,-0.04,0,1.07,0.06,-0.06,0,170.5620000,1.3600000,-1.3380000
K2-24 c,K2-24,1,1,2,0,42.33910000,0.00120000,-0.00120000,0,,,,,7.500,0.300,-0.300,0,15.40000,1.90000,-1.80000,0,0.070000,,,1,,5625.00,60.00,-60.00,0,1.16,0.04,-0.04,0,1.07,0.06,-0.06,0,170.5620000,1.3600000,-1.3380000
K2-25 b,K2-25,1,1,1,0,3.48456408,0.00000060,-0.00000050,0,0.028700,0.001200,-0.001200,0,3.440,0.120,-0.120,0,24.50000,5.70000,-5.20000,0,0.428000,0.050000,-0.049000,0,M4.5 V,3207.00,58.00,-58.00,0,0.29,0.01,-0.01,0,0.26,0.01,-0.01,0,44.9565000,0.1664000,-0.1653000
K2-260 b,K2-260,1,1,1,0,2.62669762,0.00000066,-0.00000066,0,0.043920,0.000570,-0.000630,0,18.416,0.650,-0.818,0,546.66486,108.06166,-111.23994,0,0.053000,0.051000,-0.036000,0,,6860.00,150.00,-160.00,0,1.75,0.06,-0.08,0,1.64,0.07,-0.07,0,663.8340000,19.3950000,-18.3420000
K2-261 b,K2-261,1,1,1,0,11.63346810,0.00000440,-0.00000440,0,0.108600,0.001200,-0.001200,0,9.270,0.370,-0.336,0,68.96876,7.94571,-9.21702,0,0.274000,0.065000,-0.061000,0,,5490.00,110.00,-110.00,0,1.66,0.07,-0.07,0,1.11,0.04,-0.05,0,213.2830000,1.9750000,-1.9410000
K2-263 b,K2-263,1,1,1,0,50.81894700,0.00009400,-0.00009400,0,0.257300,0.003000,-0.003000,0,2.410,0.120,-0.120,0,14.90000,2.10000,-2.10000,0,0.150000,,,1,,5368.00,44.00,-44.00,0,0.85,0.02,-0.02,0,0.88,0.03,-0.03,0,162.4810000,1.3800000,-1.3570000
K2-265 b,K2-265,1,2,1,0,2.36902000,0.00005800,-0.00005900,0,0.033590,0.000620,-0.000530,0,1.708,0.112,-0.081,0,7.34184,1.43023,-1.39844,0,0.160000,0.160000,-0.110000,0,,5420.00,100.00,-100.00,0,0.92,0.03,-0.03,0,0.90,0.05,-0.04,0,138.6710000,0.9850000,-0.9700000
K2-266 b,K2-266,1,2,4,0,0.65852400,0.00001700,-0.00001700,0,0.013060,0.000200,-0.000210,0,3.300,1.800,-1.300,0,11.26782,11.37120,-11.37120,0,,,,,,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,77.5586000,0.3581000,-0.3549000
K2-266 c,K2-266,1,2,4,0,7.81400000,0.00190000,-0.00160000,0,0.067900,0.001100,-0.001100,0,0.705,0.096,-0.085,0,0.29013,0.17008,-0.17008,0,0.042000,0.043000,-0.030000,0,,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,77.5586000,0.3581000,-0.3549000
K2-266 d,K2-266,1,2,4,0,14.69700000,0.00034000,-0.00035000,0,0.103500,0.001600,-0.001700,0,2.930,0.140,-0.120,0,8.90000,5.70000,-3.80000,0,0.047000,0.043000,-0.032000,0,,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,77.5586000,0.3581000,-0.3549000
K2-266 e,K2-266,1,2,4,0,19.48200000,0.00120000,-0.00120000,0,0.124900,0.001900,-0.002000,0,2.730,0.140,-0.110,0,14.30000,6.40000,-5.00000,0,0.043000,0.036000,-0.030000,0,,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,77.5586000,0.3581000,-0.3549000
K2-27 b,K2-27,1,3,1,0,6.77131500,0.00008500,-0.00008500,0,0.067020,0.000710,-0.000710,0,4.480,0.230,-0.230,0,30.90000,4.60000,-4.60000,0,0.251000,0.088000,-0.088000,0,,5248.00,60.00,-60.00,0,0.89,0.04,-0.04,0,0.87,0.03,-0.02,0,249.6450000,2.4890000,-2.4410000
K2-280 b,K2-280,1,1,1,0,19.89526000,0.00028000,-0.00028000,0,0.146100,0.009900,-0.009700,0,7.500,0.440,-0.440,0,37.10000,5.60000,-5.60000,0,0.350000,0.050000,-0.040000,0,,5500.00,100.00,-100.00,0,1.28,0.07,-0.07,0,1.03,0.03,-0.03,0,391.5370000,7.4940000,-7.2230000
K2-285 b,K2-285,1,1,4,0,3.47174500,0.00004400,-0.00004600,0,0.038170,0.000950,-0.000920,0,2.590,0.060,-0.060,0,9.68000,1.21000,-1.37000,0,0.000000,,,0,K2 V,4975.00,95.00,-95.00,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,154.9610000,1.1610000,-1.1440000
K2-285 c,K2-285,1,1,4,0,7.13804800,0.00007200,-0.00006300,0,0.082400,0.001800,-0.001800,0,3.530,0.080,-0.080,0,15.68000,2.28000,-2.13000,0,0.000000,,,0,K2 V,4975.00,95.00,-95.00,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,154.9610000,1.1610000,-1.1440000
K2-285 d,K2-285,1,1,4,0,10.45582000,0.00025000,-0.00023000,0,0.117800,0.002900,-0.002900,0,2.480,0.060,-0.060,0,6.50000,,,1,0.000000,,,0,K2 V,4975.00,95.00,-95.00,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,154.9610000,1.1610000,-1.1440000
K2-285 e,K2-285,1,1,4,0,14.76289000,0.00065000,-0.00061000,0,0.180410,0.004200,-0.004300,0,1.950,0.050,-0.050,0,10.70000,,,1,0.000000,,,0,K2 V,4975.00,95.00,-95.00,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,154.9610000,1.1610000,-1.1440000
K2-287 b,K2-287,1,1,1,0,14.89329100,0.00002500,-0.00002500,0,0.120600,0.000800,-0.000800,0,9.494,0.146,-0.146,0,100.11645,8.58141,-8.58141,0,0.478000,0.025000,-0.026000,0,,5695.00,58.00,-58.00,0,1.07,0.01,-0.01,0,1.06,0.02,-0.02,0,158.3350000,1.2970000,-1.2770000
K2-29 b,K2-29,1,2,1,0,3.25883210,0.00000190,-0.00000190,0,0.042170,0.000240,-0.000240,0,13.339,0.224,-0.224,0,232.01590,12.71320,-12.71320,0,0.066000,0.022000,-0.022000,0,G7 V,5358.00,38.00,-38.00,0,0.86,0.01,-0.01,0,0.94,0.02,-0.02,0,178.4750000,1.3200000,-1.3010000
K2-290 b,K2-290,1,3,2,0,9.21165000,0.00033000,-0.00034000,0,0.092300,0.006600,-0.006600,0,3.060,0.160,-0.160,0,10.90000,,,1,0.000000,,,0,,6302.00,120.00,-120.00,0,1.51,0.07,-0.07,0,1.19,0.07,-0.08,0,272.9090000,3.8240000,-3.7210000
K2-290 c,K2-290,1,3,2,0,48.36685000,0.00041000,-0.00040000,0,0.305000,0.017000,-0.017000,0,11.276,0.560,-0.560,0,246.00042,14.93801,-14.93801,0,0.000000,,,0,,6302.00,120.00,-120.00,0,1.51,0.07,-0.07,0,1.19,0.07,-0.08,0,272.9090000,3.8240000,-3.7210000
K2-291 b,K2-291,1,1,1,0,2.22517700,0.00006600,-0.00006800,0,0.032610,0.000440,-0.000440,0,1.589,0.095,-0.072,0,6.49000,1.16000,-1.16000,0,0.000000,,,0,,5520.00,60.00,-60.00,0,0.90,0.04,-0.03,0,0.93,0.04,-0.04,0,90.0562000,0.4953000,-0.4900000
K2-292 b,K2-292,1,1,1,0,16.98410000,0.00080000,-0.00080000,0,0.130000,0.010000,-0.010000,0,2.630,0.110,-0.100,0,24.50000,4.40000,-4.40000,0,0.040000,0.060000,-0.030000,0,G3 V,5725.00,65.00,-65.00,0,1.09,0.03,-0.03,0,1.00,0.03,-0.03,0,114.2930000,0.8250000,-0.8120000
K2-295 b,K2-295,1,1,1,0,4.02486700,0.00001500,-0.00001500,0,0.045100,0.000600,-0.001400,0,10.054,0.123,-0.056,0,106.47305,19.70546,-19.70546,0,0.000000,,,0,K5 V,4444.00,70.00,-70.00,0,0.70,0.02,-0.02,0,0.74,0.04,-0.04,0,232.8010000,1.8350000,-1.8070000
K2-3 b,K2-3,1,1,3,0,10.05465350,0.00000880,-0.00000910,0,0.074700,0.001300,-0.001200,0,2.078,0.076,-0.067,0,5.11000,0.65000,-0.64000,0,0.107000,0.057000,-0.059000,0,M V,3844.00,61.00,-63.00,0,0.55,0.02,-0.02,0,0.55,0.03,-0.03,0,44.0727000,0.1081500,-0.1081500
K2-3 c,K2-3,1,1,3,0,24.64672900,0.00004400,-0.00004200,0,0.135700,0.002300,-0.002200,0,1.582,0.057,-0.051,0,2.68000,0.85000,-0.85000,0,0.048000,0.073000,-0.035000,0,M V,3844.00,61.00,-63.00,0,0.55,0.02,-0.02,0,0.55,0.03,-0.03,0,44.0727000,0.1081500,-0.1081500
K2-3 d,K2-3,1,1,3,0,44.55603000,0.00013000,-0.00012000,0,0.201400,0.003400,-0.003300,0,1.458,0.056,-0.051,0,2.20000,,,1,0.091000,0.120000,-0.064000,0,M V,3844.00,61.00,-63.00,0,0.55,0.02,-0.02,0,0.55,0.03,-0.03,0,44.0727000,0.1081500,-0.1081500
K2-30 b,K2-30,1,1,1,0,4.09850300,0.00001100,-0.00001100,0,0.048390,0.000760,-0.000760,0,11.646,0.560,-0.572,0,184.02357,8.89924,-8.58141,0,0.000000,,,0,G6 V,5425.00,40.00,-40.00,0,0.84,0.03,-0.03,0,0.90,0.04,-0.04,0,333.0420000,3.0210000,-2.9680000
K2-31 b,K2-31,1,2,1,0,1.25785000,0.00000200,-0.00000200,0,0.022000,0.001800,-0.001800,0,11.882,3.923,-3.923,0,563.83042,25.10857,-25.10857,0,0.000000,,,0,G7 V,5280.00,70.00,-70.00,0,0.78,0.07,-0.07,0,0.91,0.06,-0.06,0,110.5270000,0.7200000,-0.7120000
K2-32 b,K2-32,1,2,4,0,8.99200000,0.00008000,-0.00008000,0,0.079500,0.000660,-0.000620,0,5.299,0.191,-0.191,0,15.00000,1.80000,-1.70000,0,0.030000,0.032000,-0.021000,0,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,157.6820000,1.3090000,-1.2880000
K2-32 c,K2-32,1,2,4,0,20.66093000,0.00080000,-0.00079000,0,0.138430,0.001150,-0.001080,0,3.134,0.123,-0.102,0,8.10000,2.40000,-2.40000,0,0.049000,0.046000,-0.035000,0,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,157.6820000,1.3090000,-1.2880000
K2-32 d,K2-32,1,2,4,0,31.71701000,0.00101000,-0.00096000,0,0.184220,0.001520,-0.001440,0,3.484,0.112,-0.129,0,6.70000,2.50000,-2.50000,0,0.050000,0.053000,-0.035000,0,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,157.6820000,1.3090000,-1.2880000
K2-32 e,K2-32,1,2,4,0,4.34934000,0.00039000,-0.00039000,0,0.048990,0.000410,-0.000380,0,1.212,0.052,-0.046,0,2.10000,1.30000,-1.10000,0,0.043000,0.048000,-0.030000,0,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,157.6820000,1.3090000,-1.2880000
K2-329 b,K2-329,1,1,1,0,12.45512250,0.00000310,-0.00000310,0,0.101600,0.001800,-0.001900,0,8.676,0.291,-0.269,0,82.63580,6.35660,-6.99226,0,0.069700,0.041000,-0.040000,0,,5282.00,40.00,-39.00,0,0.82,0.03,-0.02,0,0.90,0.05,-0.05,0,233.2370000,2.2930000,-2.2490000
K2-33 b,K2-33,1,1,1,0,5.42486500,0.00003500,-0.00003100,0,,,,,5.040,0.340,-0.370,0,1175.97100,,,1,0.000000,,,0,M3.3,3540.00,70.00,-70.00,0,1.05,0.07,-0.07,0,0.56,0.09,-0.09,0,139.2680000,1.5320000,-1.4990000
K2-36 b,K2-36,1,1,2,0,1.42261400,0.00003800,-0.00003800,0,0.022880,0.000100,-0.000100,0,1.430,0.080,-0.080,0,4.30000,1.40000,-1.40000,0,0.093000,,,1,,4916.00,37.00,-37.00,0,0.72,0.01,-0.01,0,0.79,0.01,-0.01,0,109.7490000,0.6150000,-0.6090000
K2-36 c,K2-36,1,1,2,0,5.34088800,0.00008600,-0.00008600,0,0.055280,0.000230,-0.000230,0,3.200,0.300,-0.300,0,7.90000,2.80000,-2.80000,0,0.089000,,,1,,4916.00,37.00,-37.00,0,0.72,0.01,-0.01,0,0.79,0.01,-0.01,0,109.7490000,0.6150000,-0.6090000
K2-38 b,K2-38,1,1,2,0,4.01593000,0.00050000,-0.00050000,0,0.050300,0.001100,-0.001100,0,1.655,0.096,-0.096,0,7.70000,1.20000,-1.10000,0,0.110000,,,1,,5705.00,66.00,-66.00,0,1.14,0.01,-0.01,0,1.05,0.07,-0.06,0,192.6900000,2.6690000,-2.5970000
K2-38 c,K2-38,1,1,2,0,10.56103000,0.00090000,-0.00090000,0,0.095900,0.002200,-0.002200,0,2.490,0.220,-0.220,0,7.40000,1.40000,-1.30000,0,0.086000,,,1,,5705.00,66.00,-66.00,0,1.14,0.01,-0.01,0,1.05,0.07,-0.06,0,192.6900000,2.6690000,-2.5970000
K2-39 b,K2-39,1,1,1,0,4.60543000,0.00046000,-0.00046000,0,,,,,6.277,1.681,-1.681,0,28.60470,15.89150,-15.89150,0,0.000000,,,0,,4881.00,20.00,-20.00,0,2.97,0.77,-0.77,0,0.66,0.56,-0.56,0,307.4700000,4.6560000,-4.6560000
K2-415 b,K2-415,1,1,1,0,4.01796940,0.00000270,-0.00000270,0,0.027000,0.000230,-0.000230,0,1.015,0.051,-0.005,0,7.50000,,,1,,,,,M5 V,3173.00,53.00,-53.00,0,0.20,0.01,-0.01,0,0.16,0.00,0.00,0,21.8182000,0.0307000,-0.0307000
K2-416 b,K2-416,1,1,1,0,13.10200000,0.00260000,-0.00240000,0,0.088000,0.010000,-0.021000,0,2.660,0.190,-0.140,0,1652.70772,,,1,,,,,M V,3746.00,72.00,-72.00,0,0.55,0.02,-0.02,0,0.55,0.01,-0.01,0,120.3110000,0.6050000,-0.5990000
K2-417 b,K2-417,1,1,1,0,6.53500000,0.00140000,-0.00140000,0,0.063000,0.006000,-0.014000,0,3.310,0.140,-0.120,0,699.22250,,,1,,,,,M V,3861.00,77.00,-77.00,0,0.58,0.00,0.00,0,0.57,0.01,-0.01,0,94.0424000,0.3023000,-0.3003000
K2-419 A b,K2-419 A,1,2,1,0,20.35847252,0.00000614,-0.00000575,0,0.120800,0.001600,-0.001700,0,10.550,0.390,-0.390,0,196.00000,15.00000,-15.00000,0,0.042000,0.045000,-0.029000,0,,3711.00,88.00,-88.00,0,0.54,0.02,-0.02,0,0.56,0.02,-0.02,0,268.6850000,3.6615000,-3.6615000
K2-60 b,K2-60,1,1,1,0,3.00265000,0.00004000,-0.00004000,0,0.045000,0.003000,-0.003000,0,7.656,0.415,-0.415,0,135.39558,11.75971,-11.75971,0,0.000000,,,0,G4 V,5500.00,100.00,-100.00,0,1.12,0.05,-0.05,0,0.97,0.07,-0.07,0,491.8700000,11.4700000,-10.9690000
K2-66 b,K2-66,1,1,1,0,5.06963000,0.00081000,-0.00081000,0,0.059830,0.000720,-0.000720,0,2.490,0.340,-0.240,0,21.30000,3.60000,-3.60000,0,0.000000,,,0,,5887.00,46.00,-46.00,0,1.67,0.12,-0.12,0,1.11,0.04,-0.04,0,513.8770000,24.1230000,-22.0870000
K2-79 b,K2-79,1,1,1,0,10.99470000,0.00047000,-0.00047000,0,0.098800,0.001700,-0.002300,0,4.090,0.170,-0.120,0,9.20000,2.40000,-2.40000,0,0.230000,,,1,,5897.00,118.00,-118.00,0,1.26,0.04,-0.03,0,1.07,0.06,-0.07,0,256.0110000,2.3490000,-2.3070000
K2-97 b,K2-97,1,1,1,0,8.40711500,0.00002300,-0.00002300,0,0.085400,0.004400,-0.003300,0,13.451,1.233,-1.233,0,174.48780,18.75188,-14.62011,0,0.207000,0.039000,-0.038000,0,,4673.00,95.00,-93.00,0,4.14,0.28,-0.26,0,1.17,0.19,-0.13,0,878.4300000,49.9400000,-49.9400000
K2-98 b,K2-98,1,1,1,0,10.13673490,0.00000940,-0.00000920,0,0.098600,0.002000,-0.002900,0,5.066,0.314,-0.280,0,34.00764,13.98445,-14.62011,0,0.119000,0.150000,-0.083000,0,,6260.00,170.00,-160.00,0,1.52,0.08,-0.08,0,1.25,0.08,-0.11,0,518.6250000,11.5180000,-11.0370000
KELT-1 b,KELT-1,1,1,1,0,1.21751400,0.00001500,-0.00001500,0,0.024660,0.000160,-0.000160,0,12.442,0.359,-0.247,0,8654.15000,158.90800,-152.55200,0,0.009900,0.010000,-0.006900,0,,6518.00,50.00,,0,1.46,0.04,,0,1.32,0.03,,0,268.4300000,3.0570000,-2.9890000
KELT-10 b,KELT-10,1,1,1,0,4.16627390,0.00000630,-0.00000630,0,0.052500,0.000860,-0.000970,0,15.681,0.773,-0.549,0,215.80657,12.39537,-12.07754,0,,,,,G0 V,5948.00,74.00,-74.00,0,1.21,0.05,-0.04,0,1.11,0.06,-0.06,0,188.4040000,2.1820000,-2.1320000
KELT-11 b,KELT-11,1,1,1,0,4.73610000,0.00003000,-0.00003000,0,,,,,15.132,1.121,-1.121,0,54.34893,4.76745,-4.76745,0,0.000700,0.002000,-0.000500,0,,5375.00,25.00,-25.00,0,2.69,0.04,-0.04,0,1.44,0.07,-0.07,0,99.1596000,0.5210500,-0.5210500
KELT-12 b,KELT-12,1,1,1,0,5.03162300,0.00003200,-0.00003100,0,0.067080,0.000970,-0.001300,0,19.952,1.906,-1.793,0,301.93850,44.49620,-44.49620,0,0.000000,,,0,,6279.00,51.00,-51.00,0,2.37,0.17,-0.17,0,1.59,0.07,-0.09,0,368.0300000,3.1570000,-3.1060000
KELT-14 b,KELT-14,1,1,1,0,1.71005660,0.00000320,-0.00000260,0,0.030050,0.000310,-0.000310,0,19.537,0.527,-0.527,0,408.09372,10.17056,-10.17056,0,0.000000,,,0,G4,5720.00,130.00,-130.00,0,1.52,0.03,-0.03,0,1.24,0.04,-0.04,0,250.1210000,1.5490000,-1.5290000
KELT-15 b,KELT-15,1,2,1,0,3.32944000,0.00001600,-0.00001600,0,,,,,19.504,2.242,-2.242,0,416.35730,136.66690,-136.66690,0,0.000000,,,0,,6003.00,54.00,-54.00,0,1.78,0.21,-0.21,0,2.06,0.75,-0.75,0,324.6830000,2.4790000,-2.4420000
